metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.013098477051848183
classification.0.75.brier,0.002409551689558567
classification.0.75.average_precision,0.04923361781133143
classification.0.75.threshold,0.020999232307076454
classification.0.75.recall,0.5533643305921218
classification.0.75.false_positive_rate,0.04509431808115049
classification.0.75.precision,0.02938597690886365
classification.0.75.auroc,0.938660804668104
classification.0.75.f1,0.05580829810524428
classification.0.75.balanced_accuracy,0.7541350062554857
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.000616164627797534
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.040221790174209356
classification.3.0.brier,0.008390006660552167
classification.3.0.average_precision,0.0821450033265785
classification.3.0.threshold,0.057211603969335556
classification.3.0.recall,0.4931544212564391
classification.3.0.false_positive_rate,0.05030711664118709
classification.3.0.precision,0.0804437153785668
classification.3.0.auroc,0.8833709664386736
classification.3.0.f1,0.13832392878388491
classification.3.0.balanced_accuracy,0.7214236523076261
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0033709426955511584
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.12466660507734979
classification.9.0.brier,0.028800315162927206
classification.9.0.average_precision,0.13581914056906969
classification.9.0.threshold,0.11308342963457108
classification.9.0.recall,0.3500024507538511
classification.9.0.false_positive_rate,0.05982199300455538
classification.9.0.precision,0.15873763075863068
classification.9.0.auroc,0.7665861708609916
classification.9.0.f1,0.21841628686776676
classification.9.0.balanced_accuracy,0.6450902288746478
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.01365773922161009
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.29563395772041046
classification.24.0.brier,0.08191344569965582
classification.24.0.average_precision,0.1803273432366196
classification.24.0.threshold,0.21649232506752014
classification.24.0.recall,0.262439694680181
classification.24.0.false_positive_rate,0.09690838179679542
classification.24.0.precision,0.21364918805475613
classification.24.0.auroc,0.6609131570341752
classification.24.0.f1,0.23554436877273524
classification.24.0.balanced_accuracy,0.5827656564416928
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03855704372144415
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.48109747539691566
classification.48.0.brier,0.155516227809985
classification.48.0.average_precision,0.27208631993953886
classification.48.0.threshold,0.38891321420669556
classification.48.0.recall,0.22798367394661373
classification.48.0.false_positive_rate,0.1133493473390851
classification.48.0.precision,0.31829022447402383
classification.48.0.auroc,0.6229194329684842
classification.48.0.f1,0.2656724949395419
classification.48.0.balanced_accuracy,0.5573171633037641
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.08525547120951706
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6709263667495016
classification.96.0.brier,0.2422584266002315
classification.96.0.average_precision,0.4561929245174768
classification.96.0.threshold,0.6897134184837341
classification.96.0.recall,0.13575040070373606
classification.96.0.false_positive_rate,0.07142888715048157
classification.96.0.precision,0.524795979712101
classification.96.0.auroc,0.6145585950280332
classification.96.0.f1,0.21570404939250018
classification.96.0.balanced_accuracy,0.5321607567766273
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.13975203627615146
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,32
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.5294117647058824
timing.0.75.alarm_episodes,524
timing.0.75.false_alarm_episodes,503
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,21
timing.0.75.missed_event_centers,47
timing.0.75.event_recall,0.3088235294117647
timing.0.75.false_alarms_per_sampled_center_ns,3.7775524764372346
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,144
timing.3.0.detected_window_timing_mae_ps,0.78055451995793
timing.3.0.detected_window_timing_bias_ps,-0.3935925921957327
timing.3.0.timed_within_3ps_recall,0.4744525547445255
timing.3.0.alarm_episodes,705
timing.3.0.false_alarm_episodes,632
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,73
timing.3.0.missed_event_centers,201
timing.3.0.event_recall,0.2664233576642336
timing.3.0.false_alarms_per_sampled_center_ns,4.746348240772033
timing.3.0.mean_detected_lead_ps,1.8184931506849316
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,639
timing.9.0.detected_window_timing_mae_ps,2.1019104954812464
timing.9.0.detected_window_timing_bias_ps,-0.35367819692244346
timing.9.0.timed_within_3ps_recall,0.26591375770020537
timing.9.0.alarm_episodes,1115
timing.9.0.false_alarm_episodes,953
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,162
timing.9.0.missed_event_centers,216
timing.9.0.event_recall,0.42857142857142855
timing.9.0.false_alarms_per_sampled_center_ns,7.157072584581878
timing.9.0.mean_detected_lead_ps,4.069444444444445
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2046
timing.24.0.detected_window_timing_mae_ps,5.46022738983104
timing.24.0.detected_window_timing_bias_ps,-0.018596907843385295
timing.24.0.timed_within_3ps_recall,0.07873742629205689
timing.24.0.alarm_episodes,2166
timing.24.0.false_alarm_episodes,1862
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,235
timing.24.0.missed_event_centers,162
timing.24.0.event_recall,0.5919395465994962
timing.24.0.false_alarms_per_sampled_center_ns,13.983703203034057
timing.24.0.mean_detected_lead_ps,11.240425531914894
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4391
timing.48.0.detected_window_timing_mae_ps,11.385658498591582
timing.48.0.detected_window_timing_bias_ps,-1.6915364992137116
timing.48.0.timed_within_3ps_recall,0.03408713002993016
timing.48.0.alarm_episodes,2417
timing.48.0.false_alarm_episodes,1872
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,239
timing.48.0.missed_event_centers,163
timing.48.0.event_recall,0.5945273631840796
timing.48.0.false_alarms_per_sampled_center_ns,14.058803649881717
timing.48.0.mean_detected_lead_ps,31.430962343096233
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,10540
timing.96.0.detected_window_timing_mae_ps,22.421079982649996
timing.96.0.detected_window_timing_bias_ps,-4.413629488431614
timing.96.0.timed_within_3ps_recall,0.00857590500535994
timing.96.0.alarm_episodes,2129
timing.96.0.false_alarm_episodes,1276
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,209
timing.96.0.missed_event_centers,200
timing.96.0.event_recall,0.511002444987775
timing.96.0.false_alarms_per_sampled_center_ns,9.582817017761256
timing.96.0.mean_detected_lead_ps,72.38755980861244
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.009731103143504899
spatial.0.75.sampled_center_jaccard,0.02513522650439486
spatial.0.75.nearby_pair_difference_rmse,0.03972423492225158
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.030952393756877545
spatial.3.0.sampled_center_jaccard,0.06632901134521879
spatial.3.0.nearby_pair_difference_rmse,0.08502590038741961
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07872119738108728
spatial.9.0.sampled_center_jaccard,0.08772934860988703
spatial.9.0.nearby_pair_difference_rmse,0.15252472782083512
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.16474072397787476
spatial.24.0.sampled_center_jaccard,0.10878201620995412
spatial.24.0.nearby_pair_difference_rmse,0.24124921060792312
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.25359232013859523
spatial.48.0.sampled_center_jaccard,0.1364693174306158
spatial.48.0.nearby_pair_difference_rmse,0.304940565317901
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.33668461930212396
spatial.96.0.sampled_center_jaccard,0.09886823045149937
spatial.96.0.nearby_pair_difference_rmse,0.36573718692728785
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1191851525636098
best_selection_nll,1.0646195860551573
