metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.013184058789792591
classification.0.75.brier,0.002410115197668622
classification.0.75.average_precision,0.0373692163802682
classification.0.75.threshold,0.016664009541273117
classification.0.75.recall,0.49120755446897785
classification.0.75.false_positive_rate,0.0453492783486058
classification.0.75.precision,0.026028266444505156
classification.0.75.auroc,0.9341256627993263
classification.0.75.f1,0.04943695154249923
classification.0.75.balanced_accuracy,0.722929138060186
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0001965775467859363
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.040297798062947233
classification.3.0.brier,0.0083814538761171
classification.3.0.average_precision,0.08170166130872528
classification.3.0.threshold,0.04712175205349922
classification.3.0.recall,0.4983789734076264
classification.3.0.false_positive_rate,0.05025686166019678
classification.3.0.precision,0.08130134421398846
classification.3.0.auroc,0.8802534625978936
classification.3.0.f1,0.1397973304744021
classification.3.0.balanced_accuracy,0.7240610558737146
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0021970383541365063
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521238
classification.9.0.log_loss,0.12494453098704293
classification.9.0.brier,0.028824119843757337
classification.9.0.average_precision,0.13284314893448237
classification.9.0.threshold,0.09968635439872742
classification.9.0.recall,0.3573981292786265
classification.9.0.false_positive_rate,0.061856889802422675
classification.9.0.precision,0.1570702090748301
classification.9.0.auroc,0.7595944445076965
classification.9.0.f1,0.21823150115869455
classification.9.0.balanced_accuracy,0.6477706197381017
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.011850959333871598
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080055
classification.24.0.log_loss,0.2956592158840692
classification.24.0.brier,0.08191603527275382
classification.24.0.average_precision,0.17483678108628775
classification.24.0.threshold,0.2123912125825882
classification.24.0.recall,0.2559926362017841
classification.24.0.false_positive_rate,0.10076758352028069
classification.24.0.precision,0.20310643135593173
classification.24.0.auroc,0.658535748167479
classification.24.0.f1,0.22650340402098615
classification.24.0.balanced_accuracy,0.5776125263407516
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03622255709116924
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320362
classification.48.0.log_loss,0.48129061175435933
classification.48.0.brier,0.1556034059087008
classification.48.0.average_precision,0.2682921616084246
classification.48.0.threshold,0.3877975642681122
classification.48.0.recall,0.22678414262322905
classification.48.0.false_positive_rate,0.1163339299416891
classification.48.0.precision,0.31154505536170085
classification.48.0.auroc,0.6222308744365979
classification.48.0.f1,0.26249171894513385
classification.48.0.balanced_accuracy,0.5552251063407699
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.08322534932552285
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082907
classification.96.0.log_loss,0.6716837134874571
classification.96.0.brier,0.24252633152599745
classification.96.0.average_precision,0.4539920278905745
classification.96.0.threshold,0.6944975256919861
classification.96.0.recall,0.13048148208736046
classification.96.0.false_positive_rate,0.07010677406407302
classification.96.0.precision,0.5195804067181404
classification.96.0.auroc,0.6143525395580534
classification.96.0.f1,0.2085820525695247
classification.96.0.balanced_accuracy,0.5301873540116439
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.14108250976352776
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,34
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.5
timing.0.75.alarm_episodes,562
timing.0.75.false_alarm_episodes,544
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,18
timing.0.75.missed_event_centers,50
timing.0.75.event_recall,0.2647058823529412
timing.0.75.false_alarms_per_sampled_center_ns,4.085464308512636
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,145
timing.3.0.detected_window_timing_mae_ps,0.7770537464742625
timing.3.0.detected_window_timing_bias_ps,-0.37715067013430575
timing.3.0.timed_within_3ps_recall,0.4708029197080292
timing.3.0.alarm_episodes,758
timing.3.0.false_alarm_episodes,686
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,72
timing.3.0.missed_event_centers,202
timing.3.0.event_recall,0.26277372262773724
timing.3.0.false_alarms_per_sampled_center_ns,5.15189065374939
timing.3.0.mean_detected_lead_ps,1.8020833333333333
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,630
timing.9.0.detected_window_timing_mae_ps,2.1305471631189925
timing.9.0.detected_window_timing_bias_ps,-0.22904535920094693
timing.9.0.timed_within_3ps_recall,0.27104722792607805
timing.9.0.alarm_episodes,1269
timing.9.0.false_alarm_episodes,1106
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,163
timing.9.0.missed_event_centers,215
timing.9.0.event_recall,0.4312169312169312
timing.9.0.false_alarms_per_sampled_center_ns,8.306109421351056
timing.9.0.mean_detected_lead_ps,4.049079754601227
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2042
timing.24.0.detected_window_timing_mae_ps,5.508684644945689
timing.24.0.detected_window_timing_bias_ps,0.14245107309627722
timing.24.0.timed_within_3ps_recall,0.07769684356573014
timing.24.0.alarm_episodes,2115
timing.24.0.false_alarm_episodes,1823
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,230
timing.24.0.missed_event_centers,167
timing.24.0.event_recall,0.5793450881612091
timing.24.0.false_alarms_per_sampled_center_ns,13.690811460328188
timing.24.0.mean_detected_lead_ps,11.36413043478261
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4369
timing.48.0.detected_window_timing_mae_ps,11.498424868300486
timing.48.0.detected_window_timing_bias_ps,-1.4991606363449455
timing.48.0.timed_within_3ps_recall,0.033422015297638843
timing.48.0.alarm_episodes,2321
timing.48.0.false_alarm_episodes,1788
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,236
timing.48.0.missed_event_centers,166
timing.48.0.event_recall,0.5870646766169154
timing.48.0.false_alarms_per_sampled_center_ns,13.427959896361383
timing.48.0.mean_detected_lead_ps,31.15042372881356
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,10576
timing.96.0.detected_window_timing_mae_ps,22.419303225433644
timing.96.0.detected_window_timing_bias_ps,-4.38236963824941
timing.96.0.timed_within_3ps_recall,0.009482971880926857
timing.96.0.alarm_episodes,2163
timing.96.0.false_alarm_episodes,1290
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,215
timing.96.0.missed_event_centers,194
timing.96.0.event_recall,0.5256723716381418
timing.96.0.false_alarms_per_sampled_center_ns,9.687957643347978
timing.96.0.mean_detected_lead_ps,71.90232558139535
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.008582715574773426
spatial.0.75.sampled_center_jaccard,0.02495
spatial.0.75.nearby_pair_difference_rmse,0.03973968936248255
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.028128786219715075
spatial.3.0.sampled_center_jaccard,0.06404969600845889
spatial.3.0.nearby_pair_difference_rmse,0.08509999074577558
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07499809447325155
spatial.9.0.sampled_center_jaccard,0.08693515428985282
spatial.9.0.nearby_pair_difference_rmse,0.15259200335979345
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.1607536993155141
spatial.24.0.sampled_center_jaccard,0.10898744557855868
spatial.24.0.nearby_pair_difference_rmse,0.24074939561286224
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2497975554930514
spatial.48.0.sampled_center_jaccard,0.13684416802429225
spatial.48.0.nearby_pair_difference_rmse,0.3046291730551395
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3333601102018028
spatial.96.0.sampled_center_jaccard,0.10065569105816785
spatial.96.0.nearby_pair_difference_rmse,0.366527424851361
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1207753283346136
best_selection_nll,1.0647940909552454
