metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.015147560922878204
classification.0.75.brier,0.002436385393108033
classification.0.75.average_precision,0.01653373143180023
classification.0.75.threshold,0.013758059591054916
classification.0.75.recall,0.3961044450022643
classification.0.75.false_positive_rate,0.04324071596156019
classification.0.75.precision,0.02210115681485622
classification.0.75.auroc,0.892234533036945
classification.0.75.f1,0.04186632802630358
classification.0.75.balanced_accuracy,0.6764318645203522
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0014392111470978139
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04621114210434463
classification.3.0.brier,0.008659515927511083
classification.3.0.average_precision,0.0393267181908557
classification.3.0.threshold,0.04329933971166611
classification.3.0.recall,0.22869153710860277
classification.3.0.false_positive_rate,0.04248223432961173
classification.3.0.precision,0.04583794953384677
classification.3.0.auroc,0.831135906802429
classification.3.0.f1,0.07636885396179564
classification.3.0.balanced_accuracy,0.5931046513894955
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.005549484561000361
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.1359170217065335
classification.9.0.brier,0.03001695820374806
classification.9.0.average_precision,0.07486729316924416
classification.9.0.threshold,0.08723730593919754
classification.9.0.recall,0.09753912851445033
classification.9.0.false_positive_rate,0.038485875002395586
classification.9.0.precision,0.0755604035660993
classification.9.0.auroc,0.698067273675177
classification.9.0.f1,0.08515442907850164
classification.9.0.balanced_accuracy,0.5295266267560274
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.013866239419149728
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.3087495129959746
classification.24.0.brier,0.08360283184707132
classification.24.0.average_precision,0.12734104499347518
classification.24.0.threshold,0.1553352028131485
classification.24.0.recall,0.08728796477517112
classification.24.0.false_positive_rate,0.040234916383543255
classification.24.0.precision,0.17874909460790972
classification.24.0.auroc,0.6002498416716524
classification.24.0.f1,0.11729677594475199
classification.24.0.balanced_accuracy,0.5235265241958139
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03700309417143421
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.49530539467807067
classification.48.0.brier,0.1572711263797352
classification.48.0.average_precision,0.19541202529831878
classification.48.0.threshold,0.30448466539382935
classification.48.0.recall,0.04553904684311378
classification.48.0.false_positive_rate,0.0484332747447169
classification.48.0.precision,0.17915885365478168
classification.48.0.auroc,0.5372923295278065
classification.48.0.f1,0.07261948964245069
classification.48.0.balanced_accuracy,0.49855288604919845
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.0694737816798772
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6800549389592784
classification.96.0.brier,0.2437344685781535
classification.96.0.average_precision,0.38520961185395297
classification.96.0.threshold,0.5807628631591797
classification.96.0.recall,0.050716936756065575
classification.96.0.false_positive_rate,0.05134864213399709
classification.96.0.precision,0.3646521469420593
classification.96.0.auroc,0.5488176883403497
classification.96.0.f1,0.08904870680199561
classification.96.0.balanced_accuracy,0.4996841473110343
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11246141081505917
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,40
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.4117647058823529
timing.0.75.alarm_episodes,526
timing.0.75.false_alarm_episodes,504
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,22
timing.0.75.missed_event_centers,46
timing.0.75.event_recall,0.3235294117647059
timing.0.75.false_alarms_per_sampled_center_ns,3.7850625211220006
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,207
timing.3.0.detected_window_timing_mae_ps,0.807726769162193
timing.3.0.detected_window_timing_bias_ps,-0.42686806377115893
timing.3.0.timed_within_3ps_recall,0.24452554744525548
timing.3.0.alarm_episodes,364
timing.3.0.false_alarm_episodes,318
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,46
timing.3.0.missed_event_centers,228
timing.3.0.event_recall,0.1678832116788321
timing.3.0.false_alarms_per_sampled_center_ns,2.388194209755548
timing.3.0.mean_detected_lead_ps,1.809782608695652
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,879
timing.9.0.detected_window_timing_mae_ps,2.214626832004423
timing.9.0.detected_window_timing_bias_ps,-0.7086241952775084
timing.9.0.timed_within_3ps_recall,0.07494866529774127
timing.9.0.alarm_episodes,260
timing.9.0.false_alarm_episodes,200
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,60
timing.9.0.missed_event_centers,318
timing.9.0.event_recall,0.15873015873015872
timing.9.0.false_alarms_per_sampled_center_ns,1.5020089369531748
timing.9.0.mean_detected_lead_ps,4.075
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2646
timing.24.0.detected_window_timing_mae_ps,5.820171060044544
timing.24.0.detected_window_timing_bias_ps,1.1544329208948965
timing.24.0.timed_within_3ps_recall,0.018383628165105793
timing.24.0.alarm_episodes,458
timing.24.0.false_alarm_episodes,334
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,108
timing.24.0.missed_event_centers,289
timing.24.0.event_recall,0.27204030226700254
timing.24.0.false_alarms_per_sampled_center_ns,2.508354924711802
timing.24.0.mean_detected_lead_ps,7.930555555555555
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,5763
timing.48.0.detected_window_timing_mae_ps,10.970387811063011
timing.48.0.detected_window_timing_bias_ps,-0.6617292416262215
timing.48.0.timed_within_3ps_recall,0.005653475224476222
timing.48.0.alarm_episodes,1441
timing.48.0.false_alarm_episodes,1256
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,123
timing.48.0.missed_event_centers,279
timing.48.0.event_recall,0.30597014925373134
timing.48.0.false_alarms_per_sampled_center_ns,9.432616124065937
timing.48.0.mean_detected_lead_ps,31.073170731707318
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,11614
timing.96.0.detected_window_timing_mae_ps,23.559844928376645
timing.96.0.detected_window_timing_bias_ps,-5.605621370214714
timing.96.0.timed_within_3ps_recall,0.0023913581264945988
timing.96.0.alarm_episodes,1462
timing.96.0.false_alarm_episodes,1081
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,159
timing.96.0.missed_event_centers,250
timing.96.0.event_recall,0.38875305623471884
timing.96.0.false_alarms_per_sampled_center_ns,8.11835830423191
timing.96.0.mean_detected_lead_ps,71.25
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.008746987824443487
spatial.0.75.sampled_center_jaccard,0.019020958943439564
spatial.0.75.nearby_pair_difference_rmse,0.04006876656579063
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.029961892838099354
spatial.3.0.sampled_center_jaccard,0.04022408963585434
spatial.3.0.nearby_pair_difference_rmse,0.08559477713213302
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07547399560331262
spatial.9.0.sampled_center_jaccard,0.04032911129568106
spatial.9.0.nearby_pair_difference_rmse,0.15257688569191763
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.163502707131359
spatial.24.0.sampled_center_jaccard,0.054081301717028504
spatial.24.0.nearby_pair_difference_rmse,0.23782536185371056
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.263195721481164
spatial.48.0.sampled_center_jaccard,0.022870976299964624
spatial.48.0.nearby_pair_difference_rmse,0.30158029497072253
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3623243417050852
spatial.96.0.sampled_center_jaccard,0.02524069125754079
spatial.96.0.nearby_pair_difference_rmse,0.36763055337022865
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1377319029334518
best_selection_nll,1.122043741826705
