metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.01138653262601563
classification.0.75.brier,0.0023183711790141733
classification.0.75.average_precision,0.11269297280524018
classification.0.75.threshold,0.012145109474658966
classification.0.75.recall,0.7633203554209872
classification.0.75.false_positive_rate,0.044235023157268516
classification.0.75.precision,0.04083550340409775
classification.0.75.auroc,0.9610518852750555
classification.0.75.f1,0.07752370546115951
classification.0.75.balanced_accuracy,0.8595426661318593
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00037385438647053013
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.036310558849132174
classification.3.0.brier,0.00796374170308896
classification.3.0.average_precision,0.17624496709481716
classification.3.0.threshold,0.04484207183122635
classification.3.0.recall,0.6141844083025759
classification.3.0.false_positive_rate,0.047782617981168445
classification.3.0.precision,0.10290310920781022
classification.3.0.auroc,0.9111713798569795
classification.3.0.f1,0.17627272459216634
classification.3.0.balanced_accuracy,0.7832008951607037
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0023692146139786675
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521238
classification.9.0.log_loss,0.11550919857064058
classification.9.0.brier,0.027453211944900902
classification.9.0.average_precision,0.21500491553544293
classification.9.0.threshold,0.11505340784788132
classification.9.0.recall,0.4578241748216509
classification.9.0.false_positive_rate,0.05662404834089307
classification.9.0.precision,0.20682576040028292
classification.9.0.auroc,0.814573625125607
classification.9.0.f1,0.28493144456713754
classification.9.0.balanced_accuracy,0.7006000632403787
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.011968664078648111
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080055
classification.24.0.log_loss,0.2871311091720477
classification.24.0.brier,0.0796585991668494
classification.24.0.average_precision,0.23465985111754525
classification.24.0.threshold,0.23232775926589966
classification.24.0.recall,0.33467239548502814
classification.24.0.false_positive_rate,0.09453146588029346
classification.24.0.precision,0.2620958647747505
classification.24.0.auroc,0.6981114475758341
classification.24.0.f1,0.2939708987629539
classification.24.0.balanced_accuracy,0.6200704648023673
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.039561578395696864
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320362
classification.48.0.log_loss,0.47861528200653214
classification.48.0.brier,0.15486021931960153
classification.48.0.average_precision,0.312622711249402
classification.48.0.threshold,0.40255337953567505
classification.48.0.recall,0.3027758899043417
classification.48.0.false_positive_rate,0.13341201186399917
classification.48.0.precision,0.3450455900403195
classification.48.0.auroc,0.6472753026776918
classification.48.0.f1,0.32253171225798416
classification.48.0.balanced_accuracy,0.5846819390201713
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.092595555504281
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082907
classification.96.0.log_loss,0.6741071997725255
classification.96.0.brier,0.24390504032293064
classification.96.0.average_precision,0.48206708416396504
classification.96.0.threshold,0.6926943063735962
classification.96.0.recall,0.1927219205368694
classification.96.0.false_positive_rate,0.09875944134229646
classification.96.0.precision,0.5313864576829355
classification.96.0.auroc,0.6282686277774336
classification.96.0.f1,0.28285770957024564
classification.96.0.balanced_accuracy,0.5469812395972867
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.15300881781832928
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,20
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.7058823529411765
timing.0.75.alarm_episodes,491
timing.0.75.false_alarm_episodes,468
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,23
timing.0.75.missed_event_centers,45
timing.0.75.event_recall,0.3382352941176471
timing.0.75.false_alarms_per_sampled_center_ns,3.5147009124704294
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,122
timing.3.0.detected_window_timing_mae_ps,0.7556418032561953
timing.3.0.detected_window_timing_bias_ps,-0.2959019046901613
timing.3.0.timed_within_3ps_recall,0.5547445255474452
timing.3.0.alarm_episodes,605
timing.3.0.false_alarm_episodes,530
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,75
timing.3.0.missed_event_centers,199
timing.3.0.event_recall,0.2737226277372263
timing.3.0.false_alarms_per_sampled_center_ns,3.9803236829259134
timing.3.0.mean_detected_lead_ps,1.86
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,545
timing.9.0.detected_window_timing_mae_ps,1.9653352222521465
timing.9.0.detected_window_timing_bias_ps,-0.18430871080045833
timing.9.0.timed_within_3ps_recall,0.3470225872689938
timing.9.0.alarm_episodes,1059
timing.9.0.false_alarm_episodes,884
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,175
timing.9.0.missed_event_centers,203
timing.9.0.event_recall,0.46296296296296297
timing.9.0.false_alarms_per_sampled_center_ns,6.638879501333033
timing.9.0.mean_detected_lead_ps,4.272857142857143
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1846
timing.24.0.detected_window_timing_mae_ps,5.2896937605104455
timing.24.0.detected_window_timing_bias_ps,-0.14232864040098203
timing.24.0.timed_within_3ps_recall,0.10197710718002082
timing.24.0.alarm_episodes,2050
timing.24.0.false_alarm_episodes,1736
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,260
timing.24.0.missed_event_centers,137
timing.24.0.event_recall,0.654911838790932
timing.24.0.false_alarms_per_sampled_center_ns,13.037437572753557
timing.24.0.mean_detected_lead_ps,11.590384615384615
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3863
timing.48.0.detected_window_timing_mae_ps,10.76522476564898
timing.48.0.detected_window_timing_bias_ps,-1.3098292113146366
timing.48.0.timed_within_3ps_recall,0.05320917858330562
timing.48.0.alarm_episodes,2191
timing.48.0.false_alarm_episodes,1699
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,250
timing.48.0.missed_event_centers,152
timing.48.0.event_recall,0.6218905472636815
timing.48.0.false_alarms_per_sampled_center_ns,12.75956591941722
timing.48.0.mean_detected_lead_ps,27.549
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,9616
timing.96.0.detected_window_timing_mae_ps,22.093471256929707
timing.96.0.detected_window_timing_bias_ps,-4.251638665093612
timing.96.0.timed_within_3ps_recall,0.014430609384019131
timing.96.0.alarm_episodes,2301
timing.96.0.false_alarm_episodes,1391
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,244
timing.96.0.missed_event_centers,165
timing.96.0.event_recall,0.5965770171149144
timing.96.0.false_alarms_per_sampled_center_ns,10.446472156509332
timing.96.0.mean_detected_lead_ps,65.17008196721312
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.007851200429094249
spatial.0.75.sampled_center_jaccard,0.03417366946778711
spatial.0.75.nearby_pair_difference_rmse,0.03923033523093909
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.028512540787778963
spatial.3.0.sampled_center_jaccard,0.07838781782620843
spatial.3.0.nearby_pair_difference_rmse,0.08247133857391982
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07618938216151974
spatial.9.0.sampled_center_jaccard,0.11488738921863564
spatial.9.0.nearby_pair_difference_rmse,0.14968256735555294
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.161634222066294
spatial.24.0.sampled_center_jaccard,0.13283263725995004
spatial.24.0.nearby_pair_difference_rmse,0.24047454085179462
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2524930053889865
spatial.48.0.sampled_center_jaccard,0.16679465508775165
spatial.48.0.nearby_pair_difference_rmse,0.30334923800630603
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3354352338782515
spatial.96.0.sampled_center_jaccard,0.14964447271380754
spatial.96.0.nearby_pair_difference_rmse,0.36525425870218925
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1142817367400002
best_selection_nll,1.0545635350924174
