metric,value
physical,0.5225959420204163
tda,0.17594976723194122
geometry,0.8569263815879822
future_physical,0.6811239123344421
physical_persistence,0.9350415468215942
condition_mean,0.9350802302360535
geometry_ridge,0.6146523356437683
mean_reversion,0.7051166296005249
selection_score,0.5665833838284016
windows,480
sources,15
noncrystalline.physical,0.6032326221466064
noncrystalline.tda,0.20670215785503387
noncrystalline.geometry,0.9767197966575623
noncrystalline.future_physical,0.7904881834983826
noncrystalline.physical_persistence,1.0962225198745728
noncrystalline.condition_mean,1.074787974357605
noncrystalline.geometry_ridge,0.7302810549736023
noncrystalline.mean_reversion,0.814980149269104
noncrystalline.windows,336
noncrystalline.sources,15
crystalline.physical,0.3563077449798584
crystalline.tda,0.1139768734574318
crystalline.geometry,0.6026988625526428
crystalline.future_physical,0.42908552289009094
crystalline.physical_persistence,0.5817497372627258
crystalline.condition_mean,0.6522967219352722
crystalline.geometry_ridge,0.359723299741745
crystalline.mean_reversion,0.45805442333221436
crystalline.windows,144
crystalline.sources,12
per_degree_geometry.1,0.9470965266227722
per_degree_geometry.2,0.9537312984466553
per_degree_geometry.4,0.6917830109596252
per_degree_geometry.6,0.8350950479507446
invariant_covariance_trace,4.2697728365646945
invariant_effective_rank,1.1263996217161203
projected_covariance_trace,335.21250641884853
projected_effective_rank,1.0025128324956374
step,1280
total_updates,1280
anchor_draws,327680
