metric,value
physical,0.5936020016670227
tda,0.17765039205551147
geometry,0.7180818915367126
future_physical,0.6929171085357666
physical_persistence,0.9350415468215942
condition_mean,0.9350802302360535
geometry_ridge,0.6146523356437683
mean_reversion,0.7051166296005249
selection_score,0.6380145996809006
windows,480
sources,15
noncrystalline.physical,0.692243754863739
noncrystalline.tda,0.20983368158340454
noncrystalline.geometry,0.8386512994766235
noncrystalline.future_physical,0.8086205124855042
noncrystalline.physical_persistence,1.0962225198745728
noncrystalline.condition_mean,1.074787974357605
noncrystalline.geometry_ridge,0.7302810549736023
noncrystalline.mean_reversion,0.814980149269104
noncrystalline.windows,336
noncrystalline.sources,15
crystalline.physical,0.3845072090625763
crystalline.tda,0.11360763758420944
crystalline.geometry,0.4616341292858124
crystalline.future_physical,0.434895783662796
crystalline.physical_persistence,0.5817497372627258
crystalline.condition_mean,0.6522967219352722
crystalline.geometry_ridge,0.359723299741745
crystalline.mean_reversion,0.45805442333221436
crystalline.windows,144
crystalline.sources,12
per_degree_geometry.1,0.8404579162597656
per_degree_geometry.2,0.880085289478302
per_degree_geometry.4,0.4871748983860016
per_degree_geometry.6,0.6646094918251038
invariant_covariance_trace,1.7473410330637458
invariant_effective_rank,1.0647888765272846
projected_covariance_trace,234.2393473329079
projected_effective_rank,1.0034322657211419
step,1280
total_updates,1280
anchor_draws,327680
