metric,value
physical,0.5930299162864685
tda,0.18224753439426422
geometry,0.8068666458129883
future_physical,0.698251485824585
physical_persistence,0.9350415468215942
condition_mean,0.9350802302360535
geometry_ridge,0.6146523356437683
mean_reversion,0.7051166296005249
selection_score,0.6385917998850346
windows,480
sources,15
noncrystalline.physical,0.689667284488678
noncrystalline.tda,0.21447332203388214
noncrystalline.geometry,0.9389618039131165
noncrystalline.future_physical,0.8146366477012634
noncrystalline.physical_persistence,1.0962225198745728
noncrystalline.condition_mean,1.074787974357605
noncrystalline.geometry_ridge,0.7302810549736023
noncrystalline.mean_reversion,0.814980149269104
noncrystalline.windows,336
noncrystalline.sources,15
crystalline.physical,0.38882946968078613
crystalline.tda,0.11772379279136658
crystalline.geometry,0.5242642760276794
crystalline.future_physical,0.43644067645072937
crystalline.physical_persistence,0.5817497372627258
crystalline.condition_mean,0.6522967219352722
crystalline.geometry_ridge,0.359723299741745
crystalline.mean_reversion,0.45805442333221436
crystalline.windows,144
crystalline.sources,12
per_degree_geometry.1,0.9359564185142517
per_degree_geometry.2,0.9935328364372253
per_degree_geometry.4,0.5219796299934387
per_degree_geometry.6,0.7759979367256165
invariant_covariance_trace,2.652314304060861
invariant_effective_rank,1.0493075921869206
projected_covariance_trace,43.550264541377274
projected_effective_rank,1.0001813211138406
step,1280
total_updates,1280
anchor_draws,327680
