variant,readout,population,method,metric,seeds,value,ci95_low,ci95_high,sources
C,joint,all,encoder,future/0.75ps/block_mean,1,0.41125023706505703,0.36736454701568516,0.45667182653418015,30
C,joint,all,encoder,future/3ps/block_mean,1,0.4475916731895673,0.40057016245813837,0.49455581924412406,30
C,joint,all,encoder,future/9ps/block_mean,1,0.44048535627209484,0.38982929135776223,0.4941012656600731,30
C,joint,all,encoder,present/block_mean,1,0.344198760845595,0.3085516908050826,0.38199311270482,30
C,joint,all,encoder,temporal/0.75ps/normalized_rms_jump,1,0.8365793957929691,0.7557736081228168,0.914035697324108,30
C,joint,all,persistence,future/0.75ps/block_mean,1,0.6543012056603199,0.5740651211830684,0.7382016913960171,30
C,joint,all,persistence,future/3ps/block_mean,1,0.6919941502209339,0.6281866516744613,0.7652520256711998,30
C,joint,all,persistence,future/9ps/block_mean,1,0.7277039315344559,0.6414161148494008,0.8154739066161628,30
C,joint,low_order,encoder,future/0.75ps/block_mean,1,0.45652088091946114,0.37849161105376544,0.5402734483738302,17
C,joint,low_order,encoder,future/3ps/block_mean,1,0.43447871816655004,0.37903513921716925,0.4927176953768175,17
C,joint,low_order,encoder,future/9ps/block_mean,1,0.39623250284542644,0.33013831285403716,0.46170141278428267,17
C,joint,low_order,encoder,present/block_mean,1,0.3609689396678233,0.30817795006247856,0.41543560830383175,17
C,joint,low_order,encoder,temporal/0.75ps/normalized_rms_jump,1,1.001476171600409,0.9588512689795463,1.046737956666019,16
C,joint,low_order,persistence,future/0.75ps/block_mean,1,0.7150071780471241,0.5948092102657493,0.842726728338383,17
C,joint,low_order,persistence,future/3ps/block_mean,1,0.6833470999902369,0.5730393434345138,0.7932888567648535,17
C,joint,low_order,persistence,future/9ps/block_mean,1,0.7209020371494049,0.5975912054640004,0.8458041811412127,17
C,linear,all,encoder,future/0.75ps/block_mean,1,0.42255902505583237,0.38079196704862023,0.46492288357009065,30
C,linear,all,encoder,future/3ps/block_mean,1,0.4559564864883821,0.4144397420979416,0.5003598486958072,30
C,linear,all,encoder,future/9ps/block_mean,1,0.46054140207254224,0.41315537744305203,0.5103619579365477,30
C,linear,all,encoder,present/block_mean,1,0.35091629235280875,0.3145888250259061,0.388808084797735,30
C,linear,all,encoder,temporal/0.75ps/normalized_rms_jump,1,0.8365794156860709,0.7598675860717812,0.9156182361447852,30
C,linear,all,persistence,future/0.75ps/block_mean,1,0.6543012056603199,0.5721767839587605,0.7392993646021931,30
C,linear,all,persistence,future/3ps/block_mean,1,0.6919941502209339,0.621870549676888,0.7612308430092204,30
C,linear,all,persistence,future/9ps/block_mean,1,0.7277039315344559,0.6421522322418685,0.8225299683919487,30
C,linear,low_order,encoder,future/0.75ps/block_mean,1,0.46135656970242656,0.38719048994940286,0.5329517071126211,17
C,linear,low_order,encoder,future/3ps/block_mean,1,0.4432491833964983,0.39380492587007726,0.49954997481705204,17
