metric,value
event_nll,0.10839462534536586
classification.0.75.n,758
classification.0.75.sources,30
classification.0.75.prevalence,0.0
classification.0.75.log_loss,0.0027287349351509515
classification.0.75.brier,3.85303787493069e-05
classification.0.75.average_precision,
classification.0.75.threshold,0.015495461411774158
classification.0.75.recall,
classification.0.75.false_positive_rate,0.14949074074074079
classification.0.75.precision,0.0
classification.0.75.auroc,
classification.3.0.n,758
classification.3.0.sources,30
classification.3.0.prevalence,0.0020833333333333333
classification.3.0.log_loss,0.02283549474471378
classification.3.0.brier,0.0026118512262892774
classification.3.0.average_precision,0.006100140661131656
classification.3.0.threshold,0.016483061015605927
classification.3.0.recall,0.0
classification.3.0.false_positive_rate,0.17048366509253163
classification.3.0.precision,0.0
classification.3.0.auroc,0.7227149582285416
classification.6.0.n,758
classification.6.0.sources,30
classification.6.0.prevalence,0.005559269162210339
classification.6.0.log_loss,0.05095290600236817
classification.6.0.brier,0.007269565168346353
classification.6.0.average_precision,0.008053092074389003
classification.6.0.threshold,0.11123060435056686
classification.6.0.recall,0.0
classification.6.0.false_positive_rate,0.09361186732042985
classification.6.0.precision,0.0
classification.6.0.auroc,0.5517446111321227
classification.9.0.n,758
classification.9.0.sources,30
classification.9.0.prevalence,0.00858957219251337
classification.9.0.log_loss,0.05943372059271884
classification.9.0.brier,0.00983857525785822
classification.9.0.average_precision,0.029840451184926696
classification.9.0.threshold,0.12140949815511703
classification.9.0.recall,0.17639429312581062
classification.9.0.false_positive_rate,0.09236971860442175
classification.9.0.precision,0.016275946438306987
classification.9.0.auroc,0.6658182365682054
classification.12.0.n,758
classification.12.0.sources,30
classification.12.0.prevalence,0.013703208556149732
classification.12.0.log_loss,0.08214203467726212
classification.12.0.brier,0.014454577888304607
classification.12.0.average_precision,0.05055032414543441
classification.12.0.threshold,0.12443326413631439
classification.12.0.recall,0.22113821138211384
classification.12.0.false_positive_rate,0.09131242391154286
classification.12.0.precision,0.03255189287661397
classification.12.0.auroc,0.6302657615613472
timing.0.75.event_windows,0
timing.0.75.missed_windows,0
timing.0.75.detected_timing_mae_ps,
timing.0.75.timed_within_3ps_recall,
timing.3.0.event_windows,1
timing.3.0.missed_windows,1
timing.3.0.detected_timing_mae_ps,
timing.3.0.timed_within_3ps_recall,0.0
timing.6.0.event_windows,3
timing.6.0.missed_windows,3
timing.6.0.detected_timing_mae_ps,
timing.6.0.timed_within_3ps_recall,0.0
timing.9.0.event_windows,5
timing.9.0.missed_windows,4
timing.9.0.detected_timing_mae_ps,3.313480969619424
timing.9.0.timed_within_3ps_recall,0.0
