metric,value
event_nll,0.07388128535272863
classification.0.75.n,758
classification.0.75.sources,30
classification.0.75.prevalence,0.0
classification.0.75.log_loss,0.0005851968184465638
classification.0.75.brier,2.7986433463156812e-06
classification.0.75.average_precision,
classification.0.75.threshold,0.002160044154152274
classification.0.75.recall,
classification.0.75.false_positive_rate,0.039433056050703116
classification.0.75.precision,0.0
classification.0.75.auroc,
classification.3.0.n,758
classification.3.0.sources,30
classification.3.0.prevalence,0.0020833333333333333
classification.3.0.log_loss,0.010070427800118006
classification.3.0.brier,0.002102389678260536
classification.3.0.average_precision,0.05866646216483777
classification.3.0.threshold,0.0051041762344539165
classification.3.0.recall,1.0
classification.3.0.false_positive_rate,0.04637260484000016
classification.3.0.precision,0.04308027829399026
classification.3.0.auroc,0.9665020585320233
classification.6.0.n,758
classification.6.0.sources,30
classification.6.0.prevalence,0.005559269162210339
classification.6.0.log_loss,0.021187355243466953
classification.6.0.brier,0.005487719375160044
classification.6.0.average_precision,0.10976576376825856
classification.6.0.threshold,0.011147730052471161
classification.6.0.recall,1.0
classification.6.0.false_positive_rate,0.045011072398173146
classification.6.0.precision,0.11047807412436718
classification.6.0.auroc,0.9712558786750911
classification.9.0.n,758
classification.9.0.sources,30
classification.9.0.prevalence,0.00858957219251337
classification.9.0.log_loss,0.02594737084538793
classification.9.0.brier,0.007362888072623375
classification.9.0.average_precision,0.16993491789504872
classification.9.0.threshold,0.013290817849338055
classification.9.0.recall,1.0
classification.9.0.false_positive_rate,0.040114321245697034
classification.9.0.precision,0.1776197570303021
classification.9.0.auroc,0.9765586715484387
classification.12.0.n,758
classification.12.0.sources,30
classification.12.0.prevalence,0.013703208556149732
classification.12.0.log_loss,0.04875575466826735
classification.12.0.brier,0.011936504750745718
classification.12.0.average_precision,0.15793938511828282
classification.12.0.threshold,0.014361183159053326
classification.12.0.recall,0.7373983739837399
classification.12.0.false_positive_rate,0.040774125531834786
classification.12.0.precision,0.20080884414990188
classification.12.0.auroc,0.8627607612437294
timing.0.75.event_windows,0
timing.0.75.missed_windows,0
timing.0.75.detected_timing_mae_ps,
timing.0.75.timed_within_3ps_recall,
timing.3.0.event_windows,1
timing.3.0.missed_windows,0
timing.3.0.detected_timing_mae_ps,0.2139663755044059
timing.3.0.timed_within_3ps_recall,1.0
timing.6.0.event_windows,3
timing.6.0.missed_windows,0
timing.6.0.detected_timing_mae_ps,1.6647938160327829
timing.6.0.timed_within_3ps_recall,1.0
timing.9.0.event_windows,5
timing.9.0.missed_windows,0
timing.9.0.detected_timing_mae_ps,2.5135565422065977
timing.9.0.timed_within_3ps_recall,0.6
timing.12.0.event_windows,8
timing.12.0.missed_windows,2
timing.12.0.detected_timing_mae_ps,3.081409223343176
timing.12.0.timed_within_3ps_recall,0.5
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.0034766225144267082
per_source.881.0.75.log_loss,0.0002883347919457407
per_source.881.0.75.brier,9.930979642873031e-08
per_source.881.3.0.log_loss,0.0011753304450826804
per_source.881.3.0.brier,1.8536253248789452e-06
per_source.881.6.0.log_loss,0.002459550549324098
per_source.881.6.0.brier,8.250524547588885e-06
per_source.881.9.0.log_loss,0.003050214166152549
per_source.881.9.0.brier,1.2277836241471097e-05
per_source.881.12.0.log_loss,0.0034766225155784007
per_source.881.12.0.brier,1.5847555166599194e-05
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.0033905315212905407
per_source.882.0.75.log_loss,0.0002822754826823146
per_source.882.0.75.brier,9.306093384951507e-08
per_source.882.3.0.log_loss,0.0011165762236029805
per_source.882.3.0.brier,1.5880438300737351e-06
per_source.882.6.0.log_loss,0.0023497366938030773
per_source.882.6.0.brier,7.442419584412467e-06
per_source.882.9.0.log_loss,0.0029831171988728465
per_source.882.9.0.brier,1.170251794862824e-05
per_source.882.12.0.log_loss,0.003390531719690234
per_source.882.12.0.brier,1.4971286071863771e-05
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.6750757694244385
per_source.883.0.75.log_loss,0.0011152245092922153
per_source.883.0.75.brier,7.322085939444544e-06
per_source.883.3.0.log_loss,0.00992930977710559
per_source.883.3.0.brier,0.0007345788010161996
per_source.883.6.0.log_loss,0.08691749829391274
per_source.883.6.0.brier,0.031137738254648092
per_source.883.9.0.log_loss,0.1428981219641499
per_source.883.9.0.brier,0.05586611891223329
per_source.883.12.0.log_loss,0.4168967463342111
per_source.883.12.0.brier,0.09820929795816352
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.004322415683418512
per_source.908.0.75.log_loss,0.00032241023771988314
per_source.908.0.75.brier,2.2325540817019657e-07
per_source.908.3.0.log_loss,0.0014917031265448215
per_source.908.3.0.brier,8.6420651739668e-06
