metric,value
event_nll,0.16137992350194824
classification.0.75.n,4262
classification.0.75.sources,30
classification.0.75.prevalence,0.001835647689985074
classification.0.75.log_loss,0.006407681652797637
classification.0.75.brier,0.0015593961826106996
classification.0.75.average_precision,0.3214443790232805
classification.0.75.threshold,0.007321604061871767
classification.0.75.recall,1.0
classification.0.75.false_positive_rate,0.04045197918897772
classification.0.75.precision,0.04348498197593198
classification.0.75.auroc,0.9923718229844828
classification.3.0.n,4262
classification.3.0.sources,30
classification.3.0.prevalence,0.004763478171696488
classification.3.0.log_loss,0.018244249318779365
classification.3.0.brier,0.004178357233882636
classification.3.0.average_precision,0.3530317997420139
classification.3.0.threshold,0.04858993738889694
classification.3.0.recall,0.8245069285985493
classification.3.0.false_positive_rate,0.04547824523242192
classification.3.0.precision,0.07984529606726659
classification.3.0.auroc,0.9784763106025637
classification.6.0.n,4262
classification.6.0.sources,30
classification.6.0.prevalence,0.014587754184419049
classification.6.0.log_loss,0.04631264366891112
classification.6.0.brier,0.011542603249601874
classification.6.0.average_precision,0.38823051190070695
classification.6.0.threshold,0.09490137547254562
classification.6.0.recall,0.702379126253409
classification.6.0.false_positive_rate,0.045152085004101984
classification.6.0.precision,0.18717972202119423
classification.6.0.auroc,0.9540766424053175
classification.9.0.n,4262
classification.9.0.sources,30
classification.9.0.prevalence,0.02525818533908748
classification.9.0.log_loss,0.08088958486561088
classification.9.0.brier,0.019685664684259908
classification.9.0.average_precision,0.37507459646261515
classification.9.0.threshold,0.11423489451408386
classification.9.0.recall,0.5845284231302724
classification.9.0.false_positive_rate,0.05225189350358682
classification.9.0.precision,0.2247332401189178
classification.9.0.auroc,0.8864600543834531
classification.12.0.n,4262
classification.12.0.sources,30
classification.12.0.prevalence,0.03545634723307682
classification.12.0.log_loss,0.11504758602429214
classification.12.0.brier,0.02815011750270963
classification.12.0.average_precision,0.3430669894790383
classification.12.0.threshold,0.13504737615585327
classification.12.0.recall,0.4998719462267495
classification.12.0.false_positive_rate,0.05379165971406352
classification.12.0.precision,0.2546205007150066
classification.12.0.auroc,0.8399823049703552
timing.0.75.event_windows,4
timing.0.75.missed_windows,0
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,1.0
timing.3.0.event_windows,13
timing.3.0.missed_windows,2
timing.3.0.detected_timing_mae_ps,0.8073285184914134
timing.3.0.timed_within_3ps_recall,0.8461538461538461
timing.6.0.event_windows,44
timing.6.0.missed_windows,15
timing.6.0.detected_timing_mae_ps,1.3347367140733692
timing.6.0.timed_within_3ps_recall,0.6136363636363636
timing.9.0.event_windows,80
timing.9.0.missed_windows,35
timing.9.0.detected_timing_mae_ps,2.2537607291175883
timing.9.0.timed_within_3ps_recall,0.4125
timing.12.0.event_windows,117
timing.12.0.missed_windows,59
timing.12.0.detected_timing_mae_ps,2.631565555354323
timing.12.0.timed_within_3ps_recall,0.27350427350427353
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.11229238659143448
per_source.881.0.75.log_loss,0.0008436228395289014
per_source.881.0.75.brier,8.299921048764634e-05
per_source.881.3.0.log_loss,0.004289122946737768
per_source.881.3.0.brier,0.0006139880491751212
per_source.881.6.0.log_loss,0.009693707310800518
per_source.881.6.0.brier,0.0013658946017547943
per_source.881.9.0.log_loss,0.05504735204741
per_source.881.9.0.brier,0.011668962371567938
per_source.881.12.0.log_loss,0.08235715676051765
per_source.881.12.0.brier,0.017040329967480793
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.20980285108089447
per_source.882.0.75.log_loss,0.03208339070909532
per_source.882.0.75.brier,0.0115741896353113
per_source.882.3.0.log_loss,0.03025272297117653
per_source.882.3.0.brier,0.008247749576172948
per_source.882.6.0.log_loss,0.03934088742403629
per_source.882.6.0.brier,0.009355576995469675
per_source.882.9.0.log_loss,0.14701267535027557
per_source.882.9.0.brier,0.029344238640713324
per_source.882.12.0.log_loss,0.14156457406121128
per_source.882.12.0.brier,0.030183032945647843
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.13239438831806183
per_source.883.0.75.log_loss,0.0011943567294231306
per_source.883.0.75.brier,3.1792444175184016e-05
per_source.883.3.0.log_loss,0.007317904513509035
per_source.883.3.0.brier,0.0005897255396066668
per_source.883.6.0.log_loss,0.024711145321728918
per_source.883.6.0.brier,0.006260951806189353
per_source.883.9.0.log_loss,0.044207068584710726
per_source.883.9.0.brier,0.013461997201136213
per_source.883.12.0.log_loss,0.08747640813260904
per_source.883.12.0.brier,0.02109204926033295
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.08898703753948212
per_source.908.0.75.log_loss,0.001450593575976634
per_source.908.0.75.brier,5.019657571485687e-05
per_source.908.3.0.log_loss,0.006979595551099409
per_source.908.3.0.brier,0.0006371824233946709
per_source.908.6.0.log_loss,0.022971545016304863
per_source.908.6.0.brier,0.005744242269647706
per_source.908.9.0.log_loss,0.049153043485357956
per_source.908.9.0.brier,0.012902559284876403
per_source.908.12.0.log_loss,0.06317298256395658
per_source.908.12.0.brier,0.017154569081230607
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.033882997930049896
per_source.909.0.75.log_loss,0.00042473660385701034
per_source.909.0.75.brier,1.2668964821625269e-05
per_source.909.3.0.log_loss,0.003383673027795857
per_source.909.3.0.brier,0.00014330557584296496
per_source.909.6.0.log_loss,0.007761222418655052
per_source.909.6.0.brier,0.0005854380549968615
per_source.909.9.0.log_loss,0.025439202820187037
per_source.909.9.0.brier,0.005750998654513726
per_source.909.12.0.log_loss,0.0290945314190989
per_source.909.12.0.brier,0.005973876831199029
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.011848718859255314
per_source.910.0.75.log_loss,0.0007161210137391572
per_source.910.0.75.brier,8.422161348348094e-05
per_source.910.3.0.log_loss,0.002847187049591467
per_source.910.3.0.brier,0.0004024230182891322
per_source.910.6.0.log_loss,0.005711708397051797
per_source.910.6.0.brier,0.001016901741865791
per_source.910.9.0.log_loss,0.008674717990981495
per_source.910.9.0.brier,0.001332645251361505
per_source.910.12.0.log_loss,0.011848720404710175
per_source.910.12.0.brier,0.00150723632700265
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.0844847708940506
per_source.911.0.75.log_loss,0.0003464067256304419
per_source.911.0.75.brier,5.501253013833212e-06
per_source.911.3.0.log_loss,0.013682650819375104
per_source.911.3.0.brier,0.004206909703418519
per_source.911.6.0.log_loss,0.013417577687130795
per_source.911.6.0.brier,0.003544062796449046
per_source.911.9.0.log_loss,0.01669659451214269
per_source.911.9.0.brier,0.0036047863577223075
per_source.911.12.0.log_loss,0.06671333189637847
per_source.911.12.0.brier,0.014029128128730734
per_source.912.temperature_K,400.0
per_source.912.event_nll,0.042867615818977356
per_source.912.0.75.log_loss,0.000577572678067784
per_source.912.0.75.brier,4.157185974181344e-06
per_source.912.3.0.log_loss,0.0043093138224867275
per_source.912.3.0.brier,0.00015602970119689793
per_source.912.6.0.log_loss,0.008845920250426008
per_source.912.6.0.brier,0.0005806087245594009
per_source.912.9.0.log_loss,0.025948984401250996
per_source.912.9.0.brier,0.006028152329395465
per_source.912.12.0.log_loss,0.028682768994167333
per_source.912.12.0.brier,0.006131822561901112
per_source.913.temperature_K,400.0
per_source.913.event_nll,0.1269409954547882
per_source.913.0.75.log_loss,0.0002154284695393415
per_source.913.0.75.brier,3.6125535843089452e-06
per_source.913.3.0.log_loss,0.002456315686156201
per_source.913.3.0.brier,7.890624545872334e-05
per_source.913.6.0.log_loss,0.0311580444561911
per_source.913.6.0.brier,0.004853630297731625
