metric,value
event_nll,0.16144853732288333
classification.0.75.n,4262
classification.0.75.sources,30
classification.0.75.prevalence,0.001835647689985074
classification.0.75.log_loss,0.0063494535418622405
classification.0.75.brier,0.0015749209810980139
classification.0.75.average_precision,0.30693757308776803
classification.0.75.threshold,0.007003931328654289
classification.0.75.recall,1.0
classification.0.75.false_positive_rate,0.04211945069678383
classification.0.75.precision,0.0418354713911119
classification.0.75.auroc,0.9932145434589185
classification.3.0.n,4262
classification.3.0.sources,30
classification.3.0.prevalence,0.004763478171696488
classification.3.0.log_loss,0.018544728814266633
classification.3.0.brier,0.004175164981784035
classification.3.0.average_precision,0.32993752534202697
classification.3.0.threshold,0.04662344977259636
classification.3.0.recall,0.8245069285985493
classification.3.0.false_positive_rate,0.04685538544296344
classification.3.0.precision,0.07768083782463721
classification.3.0.auroc,0.9764523642166614
classification.6.0.n,4262
classification.6.0.sources,30
classification.6.0.prevalence,0.014587754184419049
classification.6.0.log_loss,0.04621557841025728
classification.6.0.brier,0.011610286367203446
classification.6.0.average_precision,0.36354199897313616
classification.6.0.threshold,0.08807823061943054
classification.6.0.recall,0.6920396620228308
classification.6.0.false_positive_rate,0.05009712661958379
classification.6.0.precision,0.1697784784098806
classification.6.0.auroc,0.9538044151470046
classification.9.0.n,4262
classification.9.0.sources,30
classification.9.0.prevalence,0.02525818533908748
classification.9.0.log_loss,0.08143245038300027
classification.9.0.brier,0.019910058093739157
classification.9.0.average_precision,0.3572080657121101
classification.9.0.threshold,0.11278384178876877
classification.9.0.recall,0.6095705426310931
classification.9.0.false_positive_rate,0.054193504271724716
classification.9.0.precision,0.22568671558677744
classification.9.0.auroc,0.8865499155723691
classification.12.0.n,4262
classification.12.0.sources,30
classification.12.0.prevalence,0.03545634723307682
classification.12.0.log_loss,0.11506828181371848
classification.12.0.brier,0.028329386562232377
classification.12.0.average_precision,0.33106317219489456
classification.12.0.threshold,0.13376829028129578
classification.12.0.recall,0.5470065757466845
classification.12.0.false_positive_rate,0.0565683955313631
classification.12.0.precision,0.2622431002744771
classification.12.0.auroc,0.8433237560049835
timing.0.75.event_windows,4
timing.0.75.missed_windows,0
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,1.0
timing.3.0.event_windows,13
timing.3.0.missed_windows,2
timing.3.0.detected_timing_mae_ps,0.8119370723807571
timing.3.0.timed_within_3ps_recall,0.8461538461538461
timing.6.0.event_windows,44
timing.6.0.missed_windows,15
timing.6.0.detected_timing_mae_ps,1.242322083167875
timing.6.0.timed_within_3ps_recall,0.6363636363636364
timing.9.0.event_windows,80
timing.9.0.missed_windows,34
timing.9.0.detected_timing_mae_ps,2.1907516040606327
timing.9.0.timed_within_3ps_recall,0.4375
timing.12.0.event_windows,117
timing.12.0.missed_windows,54
timing.12.0.detected_timing_mae_ps,2.71145087962663
timing.12.0.timed_within_3ps_recall,0.3076923076923077
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.11329597234725952
per_source.881.0.75.log_loss,0.0009407652547963522
per_source.881.0.75.brier,0.00010110804017970994
per_source.881.3.0.log_loss,0.004582568446294513
per_source.881.3.0.brier,0.0007432625192930635
per_source.881.6.0.log_loss,0.010018320593720369
per_source.881.6.0.brier,0.0013128027019306515
per_source.881.9.0.log_loss,0.056592300686472766
per_source.881.9.0.brier,0.011714899036487281
per_source.881.12.0.log_loss,0.08443303873030783
per_source.881.12.0.brier,0.017240239223071576
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.20792452991008759
per_source.882.0.75.log_loss,0.03506531329093483
per_source.882.0.75.brier,0.01238621717369083
per_source.882.3.0.log_loss,0.029757059103259174
per_source.882.3.0.brier,0.00842126552539755
per_source.882.6.0.log_loss,0.038656687253858894
per_source.882.6.0.brier,0.009271838666171555
per_source.882.9.0.log_loss,0.1455298992967148
per_source.882.9.0.brier,0.02963158391587919
per_source.882.12.0.log_loss,0.13863591170593192
per_source.882.12.0.brier,0.030470872267905284
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.13818132877349854
per_source.883.0.75.log_loss,0.0011463310454395894
per_source.883.0.75.brier,3.31437909743723e-05
per_source.883.3.0.log_loss,0.006587595151317947
per_source.883.3.0.brier,0.0004983174874922919
per_source.883.6.0.log_loss,0.027885528288911336
per_source.883.6.0.brier,0.0073246172494365455
per_source.883.9.0.log_loss,0.04843780449805101
per_source.883.9.0.brier,0.015107743725801316
per_source.883.12.0.log_loss,0.09109026015691404
per_source.883.12.0.brier,0.022715431315045144
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.08937148749828339
