metric,value
event_nll,0.18542024284132322
classification.0.75.n,4262
classification.0.75.sources,30
classification.0.75.prevalence,0.001835647689985074
classification.0.75.log_loss,0.009071630588434257
classification.0.75.brier,0.0017030423414275907
classification.0.75.average_precision,0.2388695777944095
classification.0.75.threshold,0.013310335576534271
classification.0.75.recall,1.0
classification.0.75.false_positive_rate,0.04905350998272252
classification.0.75.precision,0.03613542820027376
classification.0.75.auroc,0.9878660625878788
classification.3.0.n,4262
classification.3.0.sources,30
classification.3.0.prevalence,0.004763478171696488
classification.3.0.log_loss,0.024681843024025197
classification.3.0.brier,0.0044535064534176935
classification.3.0.average_precision,0.218856565344489
classification.3.0.threshold,0.046638019382953644
classification.3.0.recall,0.7433505888760473
classification.3.0.false_positive_rate,0.04908989491210546
classification.3.0.precision,0.06757896331998878
classification.3.0.auroc,0.9682454840451751
classification.6.0.n,4262
classification.6.0.sources,30
classification.6.0.prevalence,0.014587754184419049
classification.6.0.log_loss,0.06232380777336405
classification.6.0.brier,0.013225119494785447
classification.6.0.average_precision,0.19755692527570035
classification.6.0.threshold,0.09454608708620071
classification.6.0.recall,0.5601859534220364
classification.6.0.false_positive_rate,0.046034783734404845
classification.6.0.precision,0.15264482196952905
classification.6.0.auroc,0.8853442478450128
classification.9.0.n,4262
classification.9.0.sources,30
classification.9.0.prevalence,0.02525818533908748
classification.9.0.log_loss,0.09948687271341489
classification.9.0.brier,0.02276578550614116
classification.9.0.average_precision,0.16625270931341612
classification.9.0.threshold,0.12614619731903076
classification.9.0.recall,0.39263139456397494
classification.9.0.false_positive_rate,0.04539258602486056
classification.9.0.precision,0.1830976572839184
classification.9.0.auroc,0.8412307894076583
classification.12.0.n,4262
classification.12.0.sources,30
classification.12.0.prevalence,0.03545634723307682
classification.12.0.log_loss,0.1358580586938023
classification.12.0.brier,0.031950312206257096
classification.12.0.average_precision,0.17052408732694344
classification.12.0.threshold,0.13898585736751556
classification.12.0.recall,0.3156362004070347
classification.12.0.false_positive_rate,0.044465228230111856
classification.12.0.precision,0.20693999482433034
classification.12.0.auroc,0.7765836036291576
timing.0.75.event_windows,4
timing.0.75.missed_windows,0
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,1.0
timing.3.0.event_windows,13
timing.3.0.missed_windows,4
timing.3.0.detected_timing_mae_ps,0.9845749807813845
timing.3.0.timed_within_3ps_recall,0.6923076923076923
timing.6.0.event_windows,44
timing.6.0.missed_windows,21
timing.6.0.detected_timing_mae_ps,1.4752588226342462
timing.6.0.timed_within_3ps_recall,0.45454545454545453
timing.9.0.event_windows,80
timing.9.0.missed_windows,51
timing.9.0.detected_timing_mae_ps,2.120616170372941
timing.9.0.timed_within_3ps_recall,0.275
timing.12.0.event_windows,117
timing.12.0.missed_windows,83
timing.12.0.detected_timing_mae_ps,2.5090419743805112
timing.12.0.timed_within_3ps_recall,0.18803418803418803
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.12730565667152405
per_source.881.0.75.log_loss,0.0018928387897363768
per_source.881.0.75.brier,2.7617036510818576e-05
per_source.881.3.0.log_loss,0.007759749669250623
per_source.881.3.0.brier,0.00022698680553867934
per_source.881.6.0.log_loss,0.023033408950782364
per_source.881.6.0.brier,0.003178193246488473
per_source.881.9.0.log_loss,0.07209605250294521
per_source.881.9.0.brier,0.013641067284556363
per_source.881.12.0.log_loss,0.100074378207096
per_source.881.12.0.brier,0.019278567820024402
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.22491803765296936
per_source.882.0.75.log_loss,0.05308518731192431
per_source.882.0.75.brier,0.014920551753885855
per_source.882.3.0.log_loss,0.04666001514282487
per_source.882.3.0.brier,0.01316536286152942
per_source.882.6.0.log_loss,0.050199971943111425
per_source.882.6.0.brier,0.0116267518984432
per_source.882.9.0.log_loss,0.15011675436990954
per_source.882.9.0.brier,0.03974955162781501
per_source.882.12.0.log_loss,0.15482098513140716
per_source.882.12.0.brier,0.03975685869561948
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.1665365844964981
per_source.883.0.75.log_loss,0.0036032460454525506
per_source.883.0.75.brier,7.313292777702326e-05
per_source.883.3.0.log_loss,0.01383837876091131
per_source.883.3.0.brier,0.0008607520442733645
per_source.883.6.0.log_loss,0.046288793945657124
per_source.883.6.0.brier,0.00926949359238208
per_source.883.9.0.log_loss,0.07516138366226219
per_source.883.9.0.brier,0.0181386915577038
per_source.883.12.0.log_loss,0.11793546866667332
per_source.883.12.0.brier,0.026707268881895948
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.11940550059080124
per_source.908.0.75.log_loss,0.005803714637380019
per_source.908.0.75.brier,0.0006585883006426063
per_source.908.3.0.log_loss,0.012752332605563937
per_source.908.3.0.brier,0.001024092705205494
per_source.908.6.0.log_loss,0.03695357575908794
per_source.908.6.0.brier,0.00609378519381287
per_source.908.9.0.log_loss,0.06947717014641994
per_source.908.9.0.brier,0.014164961280456601
per_source.908.12.0.log_loss,0.08871986094325639
per_source.908.12.0.brier,0.018828741190685214
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.05883539095520973
per_source.909.0.75.log_loss,0.0022498660877967864
per_source.909.0.75.brier,1.3187405095790558e-05
per_source.909.3.0.log_loss,0.008124721461808726
per_source.909.3.0.brier,0.00011801974356440593
per_source.909.6.0.log_loss,0.018053779159332112
per_source.909.6.0.brier,0.0005266697999420821
per_source.909.9.0.log_loss,0.0436031241063454
per_source.909.9.0.brier,0.006261500872760349
per_source.909.12.0.log_loss,0.05050377319980435
per_source.909.12.0.brier,0.006671864210536914
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.03208638355135918
per_source.910.0.75.log_loss,0.0026388518328916686
per_source.910.0.75.brier,3.147591871950177e-05
per_source.910.3.0.log_loss,0.008228913175422625
per_source.910.3.0.brier,0.00013977615339115856
per_source.910.6.0.log_loss,0.018263669171747248
per_source.910.6.0.brier,0.0005258820553712627
per_source.910.9.0.log_loss,0.02503926152787274
per_source.910.9.0.brier,0.0008933114986361708
per_source.910.12.0.log_loss,0.03208638627359901
per_source.910.12.0.brier,0.0012925895767733867
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.10845710337162018
per_source.911.0.75.log_loss,0.0030983194167131006
per_source.911.0.75.brier,3.2807762601448284e-05
per_source.911.3.0.log_loss,0.026558735344841884
per_source.911.3.0.brier,0.005085852072020274
per_source.911.6.0.log_loss,0.03386004334778159
per_source.911.6.0.brier,0.005167270331055803
per_source.911.9.0.log_loss,0.04080805414753145
per_source.911.9.0.brier,0.005473165283487402
per_source.911.12.0.log_loss,0.08555080666876823
per_source.911.12.0.brier,0.015860018053989226
per_source.912.temperature_K,400.0
per_source.912.event_nll,0.06925170123577118
per_source.912.0.75.log_loss,0.003986442664088932
per_source.912.0.75.brier,5.390453152228156e-05
per_source.912.3.0.log_loss,0.012613379064680618
per_source.912.3.0.brier,0.0004348696917869877
per_source.912.6.0.log_loss,0.02633032594074563
per_source.912.6.0.brier,0.0014601543038995724
per_source.912.9.0.log_loss,0.04690263430879845
per_source.912.9.0.brier,0.007014280771384473
per_source.912.12.0.log_loss,0.05415749632480387
per_source.912.12.0.brier,0.007500413103631109
per_source.913.temperature_K,400.0
per_source.913.event_nll,0.1467687040567398
per_source.913.0.75.log_loss,0.0020220064733086763
per_source.913.0.75.brier,8.471499532279213e-06
per_source.913.3.0.log_loss,0.00711384119386025
per_source.913.3.0.brier,8.382365673309508e-05
per_source.913.6.0.log_loss,0.03752310662860756
per_source.913.6.0.brier,0.004887510102791362
per_source.913.9.0.log_loss,0.07721760260193145
per_source.913.9.0.brier,0.01340423926190717
per_source.913.12.0.log_loss,0.1152213164747863
per_source.913.12.0.brier,0.022425051733948546
per_source.938.temperature_K,450.0
per_source.938.event_nll,0.14334706962108612
per_source.938.0.75.log_loss,0.0032908490718163525
per_source.938.0.75.brier,3.648198011686504e-05
per_source.938.3.0.log_loss,0.01331815247714752
per_source.938.3.0.brier,0.0004298308787264507
per_source.938.6.0.log_loss,0.03154466277612887
per_source.938.6.0.brier,0.0020361937353173504
per_source.938.9.0.log_loss,0.06434825395716731
per_source.938.9.0.brier,0.011424270550991265
per_source.938.12.0.log_loss,0.11185509571789547
per_source.938.12.0.brier,0.022534962141499686
per_source.939.temperature_K,450.0
per_source.939.event_nll,0.4181470572948456
per_source.939.0.75.log_loss,0.032454845477090655
per_source.939.0.75.brier,0.011043061320069639
per_source.939.3.0.log_loss,0.03295953466219117
per_source.939.3.0.brier,0.009260339559908301
per_source.939.6.0.log_loss,0.15422167966002176
per_source.939.6.0.brier,0.0442763171897503
per_source.939.9.0.log_loss,0.2036601671275963
per_source.939.9.0.brier,0.05620104616517258
per_source.939.12.0.log_loss,0.2817509275896606
per_source.939.12.0.brier,0.08115451031080158
per_source.940.temperature_K,450.0
per_source.940.event_nll,0.1526261270046234
per_source.940.0.75.log_loss,0.004942794752868371
per_source.940.0.75.brier,0.00017610493034747802
per_source.940.3.0.log_loss,0.015134398851383301
per_source.940.3.0.brier,0.0009275243322532702
per_source.940.6.0.log_loss,0.03262802285934366
per_source.940.6.0.brier,0.002972258388242849
per_source.940.9.0.log_loss,0.04468371594266126
per_source.940.9.0.brier,0.004476821165011263
per_source.940.12.0.log_loss,0.13262308461439373
per_source.940.12.0.brier,0.026235152305263378
per_source.941.temperature_K,450.0
per_source.941.event_nll,0.2969711720943451
per_source.941.0.75.log_loss,0.002699741202130201
per_source.941.0.75.brier,2.2605145272156393e-05
per_source.941.3.0.log_loss,0.010693064805988027
per_source.941.3.0.brier,0.000234472379236815
per_source.941.6.0.log_loss,0.15937145052563978
per_source.941.6.0.brier,0.04129043088888235
per_source.941.9.0.log_loss,0.1927022070439911
per_source.941.9.0.brier,0.05444501400987757
per_source.941.12.0.log_loss,0.21092567134105566
per_source.941.12.0.brier,0.06056324536556304
per_source.942.temperature_K,450.0
per_source.942.event_nll,0.2632642686367035
per_source.942.0.75.log_loss,0.0040739837548524815
per_source.942.0.75.brier,4.534606840058185e-05
per_source.942.3.0.log_loss,0.04724629495713076
per_source.942.3.0.brier,0.010801148988794425
