metric,value
event_nll,0.1641728055969214
classification.0.75.n,4262
classification.0.75.sources,30
classification.0.75.prevalence,0.001835647689985074
classification.0.75.log_loss,0.0057956653890718374
classification.0.75.brier,0.0015004150377874144
classification.0.75.average_precision,0.36279615047394187
classification.0.75.threshold,0.006364155560731888
classification.0.75.recall,1.0
classification.0.75.false_positive_rate,0.04553854821326716
classification.0.75.precision,0.038816330662825124
classification.0.75.auroc,0.9961072464401288
classification.3.0.n,4262
classification.3.0.sources,30
classification.3.0.prevalence,0.004763478171696488
classification.3.0.log_loss,0.01769637876562139
classification.3.0.brier,0.00390584274757047
classification.3.0.average_precision,0.37237652194100535
classification.3.0.threshold,0.051680706441402435
classification.3.0.recall,0.8245069285985493
classification.3.0.false_positive_rate,0.04263371838368194
classification.3.0.precision,0.0847212494016999
classification.3.0.auroc,0.9790393956815558
classification.6.0.n,4262
classification.6.0.sources,30
classification.6.0.prevalence,0.014587754184419049
classification.6.0.log_loss,0.0475863446571041
classification.6.0.brier,0.011836145693974547
classification.6.0.average_precision,0.34168675683949623
classification.6.0.threshold,0.09248509258031845
classification.6.0.recall,0.6449164956596662
classification.6.0.false_positive_rate,0.04751805437397462
classification.6.0.precision,0.16730254712339584
classification.6.0.auroc,0.9447740903852921
classification.9.0.n,4262
classification.9.0.sources,30
classification.9.0.prevalence,0.02525818533908748
classification.9.0.log_loss,0.0840932884962861
classification.9.0.brier,0.02048752785335387
classification.9.0.average_precision,0.3209530655312411
classification.9.0.threshold,0.10868823528289795
classification.9.0.recall,0.6002391874428338
classification.9.0.false_positive_rate,0.049861226633097305
classification.9.0.precision,0.23777121687214525
classification.9.0.auroc,0.8742327584266658
classification.12.0.n,4262
classification.12.0.sources,30
classification.12.0.prevalence,0.03545634723307682
classification.12.0.log_loss,0.11821136536769652
classification.12.0.brier,0.02908532675013226
classification.12.0.average_precision,0.29917287265820736
classification.12.0.threshold,0.1273927539587021
classification.12.0.recall,0.5286194951094819
classification.12.0.false_positive_rate,0.051794055981246735
classification.12.0.precision,0.27282049302732125
classification.12.0.auroc,0.8333207480000182
timing.0.75.event_windows,4
timing.0.75.missed_windows,0
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,1.0
