metric,value
event_nll,0.20557989549751707
classification.0.75.n,4262
classification.0.75.sources,30
classification.0.75.prevalence,0.001835647689985074
classification.0.75.log_loss,0.01352295169912838
classification.0.75.brier,0.0018328196917715492
classification.0.75.average_precision,0.004525512258358126
classification.0.75.threshold,0.0026668605860322714
classification.0.75.recall,0.08606111290214466
classification.0.75.false_positive_rate,0.09350700061710816
classification.0.75.precision,0.00168972352058801
classification.0.75.auroc,0.4213778316743271
classification.3.0.n,4262
classification.3.0.sources,30
classification.3.0.prevalence,0.004763478171696488
classification.3.0.log_loss,0.031729846830136146
classification.3.0.brier,0.004764505746674239
classification.3.0.average_precision,0.008228070239354289
classification.3.0.threshold,0.011170178651809692
classification.3.0.recall,0.17284083076323628
classification.3.0.false_positive_rate,0.09311355344533166
classification.3.0.precision,0.008806227157657312
classification.3.0.auroc,0.6089875459988393
classification.6.0.n,4262
classification.6.0.sources,30
classification.6.0.prevalence,0.014587754184419049
classification.6.0.log_loss,0.07759210933460904
classification.6.0.brier,0.014430824769090826
classification.6.0.average_precision,0.024701243174689098
classification.6.0.threshold,0.02519267238676548
classification.6.0.recall,0.20958243576813138
classification.6.0.false_positive_rate,0.13892602438478582
classification.6.0.precision,0.02184487145370799
classification.6.0.auroc,0.6399088046427588
classification.9.0.n,4262
classification.9.0.sources,30
classification.9.0.prevalence,0.02525818533908748
classification.9.0.log_loss,0.1184641166022423
classification.9.0.brier,0.024655883670967445
classification.9.0.average_precision,0.04650544761119743
classification.9.0.threshold,0.03692054748535156
classification.9.0.recall,0.2527028576746036
classification.9.0.false_positive_rate,0.1509860906616032
classification.9.0.precision,0.04156689345624786
classification.9.0.auroc,0.64334181115296
classification.12.0.n,4262
classification.12.0.sources,30
classification.12.0.prevalence,0.03545634723307682
classification.12.0.log_loss,0.15318097389412788
classification.12.0.brier,0.03419238891859388
classification.12.0.average_precision,0.0662676522255053
classification.12.0.threshold,0.0489322766661644
classification.12.0.recall,0.30842870561298635
classification.12.0.false_positive_rate,0.1337637618500964
classification.12.0.precision,0.07813668043661534
classification.12.0.auroc,0.662294819060681
timing.0.75.event_windows,4
timing.0.75.missed_windows,3
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.25
timing.3.0.event_windows,13
timing.3.0.missed_windows,9
timing.3.0.detected_timing_mae_ps,0.9375164707379562
timing.3.0.timed_within_3ps_recall,0.3076923076923077
timing.6.0.event_windows,44
timing.6.0.missed_windows,30
timing.6.0.detected_timing_mae_ps,1.4508328401614243
timing.6.0.timed_within_3ps_recall,0.3181818181818182
timing.9.0.event_windows,80
timing.9.0.missed_windows,52
timing.9.0.detected_timing_mae_ps,2.4073890615236286
timing.9.0.timed_within_3ps_recall,0.2125
timing.12.0.event_windows,117
timing.12.0.missed_windows,69
timing.12.0.detected_timing_mae_ps,3.255615967186174
timing.12.0.timed_within_3ps_recall,0.19658119658119658
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.1405848264694214
per_source.881.0.75.log_loss,0.0018622402307903276
per_source.881.0.75.brier,3.4645883954755393e-06
per_source.881.3.0.log_loss,0.009485277978800747
per_source.881.3.0.brier,8.920261378288746e-05
per_source.881.6.0.log_loss,0.04237449401767454
per_source.881.6.0.brier,0.005658652359367316
per_source.881.9.0.log_loss,0.08737859351289871
per_source.881.9.0.brier,0.01623882614167732
per_source.881.12.0.log_loss,0.11068648048660211
per_source.881.12.0.brier,0.021658761462460915
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.2948741614818573
per_source.882.0.75.log_loss,0.10521298449605508
per_source.882.0.75.brier,0.016337069904506955
per_source.882.3.0.log_loss,0.08585164589218912
per_source.882.3.0.brier,0.016174611054788877
per_source.882.6.0.log_loss,0.08405966497719289
per_source.882.6.0.brier,0.01613983322935924
per_source.882.9.0.log_loss,0.20025312126959735
per_source.882.9.0.brier,0.047060096675811645
per_source.882.12.0.log_loss,0.19626370877594146
per_source.882.12.0.brier,0.0467775671612439
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.18970738351345062
per_source.883.0.75.log_loss,0.0018334758052109175
per_source.883.0.75.brier,3.3572272456071454e-06
per_source.883.3.0.log_loss,0.00933670747520552
per_source.883.3.0.brier,8.641034478636905e-05
per_source.883.6.0.log_loss,0.052732737777711945
per_source.883.6.0.brier,0.008294201481306862
per_source.883.9.0.log_loss,0.115488261629584
per_source.883.9.0.brier,0.023986336610036414
per_source.883.12.0.log_loss,0.1447066831846425
per_source.883.12.0.brier,0.03173616698806897
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.1294240951538086
per_source.908.0.75.log_loss,0.002250747352076784
per_source.908.0.75.brier,5.060701577486069e-06
per_source.908.3.0.log_loss,0.008870678077697813
per_source.908.3.0.brier,7.809155166203687e-05
per_source.908.6.0.log_loss,0.039528954624874414
per_source.908.6.0.brier,0.005134895727846976
per_source.908.9.0.log_loss,0.08098571194076389
per_source.908.9.0.brier,0.01474153394515606
per_source.908.12.0.log_loss,0.10212244224103241
per_source.908.12.0.brier,0.019626532270705592
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.06644883006811142
per_source.909.0.75.log_loss,0.0022304076731541013
per_source.909.0.75.brier,4.967754562288396e-06
per_source.909.3.0.log_loss,0.008789713375755917
per_source.909.3.0.brier,7.664786999822346e-05
per_source.909.6.0.log_loss,0.02073896487265226
per_source.909.6.0.brier,0.0004217107869980138
per_source.909.9.0.log_loss,0.05003950223725682
per_source.909.9.0.brier,0.006255438632044092
per_source.909.12.0.log_loss,0.05818342242821429
per_source.909.12.0.brier,0.006797113176300279
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.04060286283493042
per_source.910.0.75.log_loss,0.0022639460548294944
per_source.910.0.75.brier,5.121451994635842e-06
per_source.910.3.0.log_loss,0.00892316192892718
per_source.910.3.0.brier,7.903413340065817e-05
per_source.910.6.0.log_loss,0.021085277057108717
