metric,value
event_nll,0.20073897156407397
classification.0.75.n,4262
classification.0.75.sources,30
classification.0.75.prevalence,0.001835647689985074
classification.0.75.log_loss,0.011127874450877262
classification.0.75.brier,0.0018455300640326407
classification.0.75.average_precision,0.03176192645675574
classification.0.75.threshold,0.01143147423863411
classification.0.75.recall,1.0
classification.0.75.false_positive_rate,0.044665112544304095
classification.0.75.precision,0.03954537480020565
classification.0.75.auroc,0.965608117936876
classification.3.0.n,4262
classification.3.0.sources,30
classification.3.0.prevalence,0.004763478171696488
classification.3.0.log_loss,0.028878844099846198
classification.3.0.brier,0.0048068254769521625
classification.3.0.average_precision,0.04232403237954002
classification.3.0.threshold,0.03851703554391861
classification.3.0.recall,0.40780778449120597
classification.3.0.false_positive_rate,0.047704905856664065
classification.3.0.precision,0.039307440896859946
classification.3.0.auroc,0.8732447370053603
classification.6.0.n,4262
classification.6.0.sources,30
classification.6.0.prevalence,0.014587754184419049
classification.6.0.log_loss,0.07132434709085697
classification.6.0.brier,0.014451503063936291
classification.6.0.average_precision,0.06702289904441693
classification.6.0.threshold,0.0699043869972229
classification.6.0.recall,0.35867646104943995
classification.6.0.false_positive_rate,0.05251414306785244
classification.6.0.precision,0.09182609070011852
classification.6.0.auroc,0.8091623166541431
classification.9.0.n,4262
classification.9.0.sources,30
classification.9.0.prevalence,0.02525818533908748
classification.9.0.log_loss,0.11101386809836997
classification.9.0.brier,0.024172100269405253
classification.9.0.average_precision,0.09355831101086524
classification.9.0.threshold,0.088965505361557
classification.9.0.recall,0.32185432640712236
classification.9.0.false_positive_rate,0.04792580514510428
classification.9.0.precision,0.14822671886674268
classification.9.0.auroc,0.7285393107581747
classification.12.0.n,4262
classification.12.0.sources,30
classification.12.0.prevalence,0.03545634723307682
classification.12.0.log_loss,0.1468379399227716
classification.12.0.brier,0.033496973090772354
classification.12.0.average_precision,0.10552894809392759
classification.12.0.threshold,0.10035715252161026
classification.12.0.recall,0.2431172939639797
classification.12.0.false_positive_rate,0.04926816251322823
classification.12.0.precision,0.1535419440013641
classification.12.0.auroc,0.6761911145287723
timing.0.75.event_windows,4
timing.0.75.missed_windows,0
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,1.0
timing.3.0.event_windows,13
timing.3.0.missed_windows,7
timing.3.0.detected_timing_mae_ps,1.1820578223425338
timing.3.0.timed_within_3ps_recall,0.46153846153846156
timing.6.0.event_windows,44
timing.6.0.missed_windows,28
timing.6.0.detected_timing_mae_ps,1.3790266017464239
timing.6.0.timed_within_3ps_recall,0.36363636363636365
timing.9.0.event_windows,80
timing.9.0.missed_windows,55
timing.9.0.detected_timing_mae_ps,2.6546884622784317
timing.9.0.timed_within_3ps_recall,0.1875
timing.12.0.event_windows,117
timing.12.0.missed_windows,89
timing.12.0.detected_timing_mae_ps,2.948288909296869
timing.12.0.timed_within_3ps_recall,0.13675213675213677
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.12844648957252502
per_source.881.0.75.log_loss,0.0014971019321286787
per_source.881.0.75.brier,4.731988139165881e-06
per_source.881.3.0.log_loss,0.0070555793756536395
per_source.881.3.0.brier,7.638950344778622e-05
per_source.881.6.0.log_loss,0.02771724064525046
per_source.881.6.0.brier,0.0044682978751533035
per_source.881.9.0.log_loss,0.08261061370635349
per_source.881.9.0.brier,0.015346048957310945
per_source.881.12.0.log_loss,0.10467236232348524
per_source.881.12.0.brier,0.02069498289658423
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.26093220710754395
per_source.882.0.75.log_loss,0.07507085045749096
per_source.882.0.75.brier,0.01602482123927951
per_source.882.3.0.log_loss,0.05466841180394672
per_source.882.3.0.brier,0.014533059618825237
per_source.882.6.0.log_loss,0.06270335537182598
per_source.882.6.0.brier,0.014604085402124139
per_source.882.9.0.log_loss,0.1847946991739241
per_source.882.9.0.brier,0.04562371196049983
per_source.882.12.0.log_loss,0.18599607013943642
per_source.882.12.0.brier,0.04574969407395761
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.1820901334285736
per_source.883.0.75.log_loss,0.002769077729022163
per_source.883.0.75.brier,4.726798673657231e-05
per_source.883.3.0.log_loss,0.011949103037178792
per_source.883.3.0.brier,0.0005390548400629483
per_source.883.6.0.log_loss,0.04919923885021137
per_source.883.6.0.brier,0.009300819833640655
per_source.883.9.0.log_loss,0.08044112577049659
per_source.883.9.0.brier,0.019385980220765934
per_source.883.12.0.log_loss,0.1187615219011409
per_source.883.12.0.brier,0.02749576795354538
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.13299289345741272
per_source.908.0.75.log_loss,0.003632461004336591
per_source.908.0.75.brier,3.755092402012903e-05
per_source.908.3.0.log_loss,0.01319288998841896
per_source.908.3.0.brier,0.0003511969273003548
per_source.908.6.0.log_loss,0.03945471098068202
per_source.908.6.0.brier,0.0053448687911785775
per_source.908.9.0.log_loss,0.08272572402581084
