metric,value
event_nll,0.18626355191731384
classification.0.75.n,4262
classification.0.75.sources,30
classification.0.75.prevalence,0.001835647689985074
classification.0.75.log_loss,0.009111606848673714
classification.0.75.brier,0.0017022722166697894
classification.0.75.average_precision,0.23920461685430275
classification.0.75.threshold,0.013506940566003323
classification.0.75.recall,1.0
classification.0.75.false_positive_rate,0.051442501569148
classification.0.75.precision,0.03451521868397721
classification.0.75.auroc,0.9882954562757131
classification.3.0.n,4262
classification.3.0.sources,30
classification.3.0.prevalence,0.004763478171696488
classification.3.0.log_loss,0.024804668641092823
classification.3.0.brier,0.004476886555102923
classification.3.0.average_precision,0.21387624572333874
classification.3.0.threshold,0.045472703874111176
classification.3.0.recall,0.7433505888760473
classification.3.0.false_positive_rate,0.046839584501621186
classification.3.0.precision,0.07059644921058796
classification.3.0.auroc,0.968367115854401
classification.6.0.n,4262
classification.6.0.sources,30
classification.6.0.prevalence,0.014587754184419049
classification.6.0.log_loss,0.06265483718305906
classification.6.0.brier,0.013351830987775296
classification.6.0.average_precision,0.1758838913908507
classification.6.0.threshold,0.08787091076374054
classification.6.0.recall,0.5345115534786904
classification.6.0.false_positive_rate,0.04715233639400449
classification.6.0.precision,0.14369816895164528
classification.6.0.auroc,0.8916702887343715
classification.9.0.n,4262
classification.9.0.sources,30
classification.9.0.prevalence,0.02525818533908748
classification.9.0.log_loss,0.09995636302073442
classification.9.0.brier,0.022891501741908776
classification.9.0.average_precision,0.16737693453328048
classification.9.0.threshold,0.11624401807785034
classification.9.0.recall,0.4122381900455594
classification.9.0.false_positive_rate,0.045167797691904786
classification.9.0.precision,0.19126592238477488
classification.9.0.auroc,0.8446531693739141
classification.12.0.n,4262
classification.12.0.sources,30
classification.12.0.prevalence,0.03545634723307682
classification.12.0.log_loss,0.13656608437717727
classification.12.0.brier,0.032110191212214895
classification.12.0.average_precision,0.16249207149914147
classification.12.0.threshold,0.12314693629741669
classification.12.0.recall,0.3553464536560782
classification.12.0.false_positive_rate,0.047052085354687995
classification.12.0.precision,0.2172924892261097
classification.12.0.auroc,0.7773569148286898
timing.0.75.event_windows,4
timing.0.75.missed_windows,0
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,1.0
timing.3.0.event_windows,13
timing.3.0.missed_windows,4
timing.3.0.detected_timing_mae_ps,0.9967285620093294
timing.3.0.timed_within_3ps_recall,0.6923076923076923
timing.6.0.event_windows,44
timing.6.0.missed_windows,22
timing.6.0.detected_timing_mae_ps,1.441217577771364
timing.6.0.timed_within_3ps_recall,0.45454545454545453
timing.9.0.event_windows,80
timing.9.0.missed_windows,49
timing.9.0.detected_timing_mae_ps,2.2269706067175212
timing.9.0.timed_within_3ps_recall,0.3
timing.12.0.event_windows,117
timing.12.0.missed_windows,79
timing.12.0.detected_timing_mae_ps,2.6963332120361954
timing.12.0.timed_within_3ps_recall,0.19658119658119658
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.12762558460235596
per_source.881.0.75.log_loss,0.001932409563763884
per_source.881.0.75.brier,2.5421394388139228e-05
per_source.881.3.0.log_loss,0.0077917215119167604
per_source.881.3.0.brier,0.00020096599858696436
per_source.881.6.0.log_loss,0.023818878165928346
per_source.881.6.0.brier,0.0033969000204081275
per_source.881.9.0.log_loss,0.0721952698043995
per_source.881.9.0.brier,0.013777243749568863
per_source.881.12.0.log_loss,0.10016162905538652
per_source.881.12.0.brier,0.01941160883161763
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.22414624691009521
per_source.882.0.75.log_loss,0.05228564538158765
per_source.882.0.75.brier,0.014838155376683143
per_source.882.3.0.log_loss,0.04702785583858282
per_source.882.3.0.brier,0.013238956193678706
per_source.882.6.0.log_loss,0.05106907718842637
per_source.882.6.0.brier,0.01188388609775734
per_source.882.9.0.log_loss,0.15253194394998584
per_source.882.9.0.brier,0.04021150116074064
per_source.882.12.0.log_loss,0.15668542619831918
per_source.882.12.0.brier,0.04020532628702507
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.1679525375366211
per_source.883.0.75.log_loss,0.0036865076259746535
per_source.883.0.75.brier,8.216461268776457e-05
per_source.883.3.0.log_loss,0.014274854431581668
per_source.883.3.0.brier,0.0009457025756942227
per_source.883.6.0.log_loss,0.04750237506018343
per_source.883.6.0.brier,0.009571494123980688
per_source.883.9.0.log_loss,0.0771055785055888
per_source.883.9.0.brier,0.018655311560783948
per_source.883.12.0.log_loss,0.1186758026531572
per_source.883.12.0.brier,0.02714743176997385
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.11882597208023071
per_source.908.0.75.log_loss,0.004808677909675032
per_source.908.0.75.brier,0.00030741027635029593
per_source.908.3.0.log_loss,0.011547427370670832
per_source.908.3.0.brier,0.0006380659345135188
per_source.908.6.0.log_loss,0.03576882989538555
per_source.908.6.0.brier,0.005710333894081876
per_source.908.9.0.log_loss,0.06785469207866242
per_source.908.9.0.brier,0.013686609218326635
per_source.908.12.0.log_loss,0.08723746226057642
per_source.908.12.0.brier,0.018336823617427712
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.05889856442809105
per_source.909.0.75.log_loss,0.002291033579124171
per_source.909.0.75.brier,1.2522933567919029e-05
per_source.909.3.0.log_loss,0.00809351113737733
per_source.909.3.0.brier,0.00011074389392043706
per_source.909.6.0.log_loss,0.017990283372378485
per_source.909.6.0.brier,0.0004997847365582275
per_source.909.9.0.log_loss,0.042854966048690414
