metric,value
event_nll,0.20018350184653935
classification.0.75.n,4262
classification.0.75.sources,30
classification.0.75.prevalence,0.001835647689985074
classification.0.75.log_loss,0.01123310573115311
classification.0.75.brier,0.0018249813339046453
classification.0.75.average_precision,0.028163166529139864
classification.0.75.threshold,0.00994113925844431
classification.0.75.recall,0.43527062871661626
classification.0.75.false_positive_rate,0.043642663612636065
classification.0.75.precision,0.018011170520254437
classification.0.75.auroc,0.9596683800193011
classification.3.0.n,4262
classification.3.0.sources,30
classification.3.0.prevalence,0.004763478171696488
classification.3.0.log_loss,0.028220268185105712
classification.3.0.brier,0.004736728841999706
classification.3.0.average_precision,0.04420819186067608
classification.3.0.threshold,0.030795441940426826
classification.3.0.recall,0.6369420540594798
classification.3.0.false_positive_rate,0.04485113525690775
classification.3.0.precision,0.06364508255090391
classification.3.0.auroc,0.9023988821508382
classification.6.0.n,4262
classification.6.0.sources,30
classification.6.0.prevalence,0.014587754184419049
classification.6.0.log_loss,0.07139164070312395
classification.6.0.brier,0.014288407075913308
classification.6.0.average_precision,0.06303743044387329
classification.6.0.threshold,0.061790402978658676
classification.6.0.recall,0.2695136536275722
classification.6.0.false_positive_rate,0.045722171301393576
classification.6.0.precision,0.08025835566392843
classification.6.0.auroc,0.8117649328728864
classification.9.0.n,4262
classification.9.0.sources,30
classification.9.0.prevalence,0.02525818533908748
classification.9.0.log_loss,0.11216803682983263
classification.9.0.brier,0.02424910269930674
classification.9.0.average_precision,0.0823451913407368
classification.9.0.threshold,0.07359716296195984
classification.9.0.recall,0.2405741706195273
classification.9.0.false_positive_rate,0.045733028140316094
classification.9.0.precision,0.11995940270356287
classification.9.0.auroc,0.7197878881822587
classification.12.0.n,4262
classification.12.0.sources,30
classification.12.0.prevalence,0.03545634723307682
classification.12.0.log_loss,0.14812545739917837
classification.12.0.brier,0.03376414206159438
classification.12.0.average_precision,0.08771546569174996
classification.12.0.threshold,0.09048783034086227
classification.12.0.recall,0.1639502644035245
classification.12.0.false_positive_rate,0.04149410473896949
classification.12.0.precision,0.1268235335217967
classification.12.0.auroc,0.6861421031920263
timing.0.75.event_windows,4
timing.0.75.missed_windows,2
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.5
timing.3.0.event_windows,13
timing.3.0.missed_windows,5
timing.3.0.detected_timing_mae_ps,1.0952499804003877
timing.3.0.timed_within_3ps_recall,0.6153846153846154
timing.6.0.event_windows,44
timing.6.0.missed_windows,32
timing.6.0.detected_timing_mae_ps,1.324850989035636
timing.6.0.timed_within_3ps_recall,0.2727272727272727
timing.9.0.event_windows,80
timing.9.0.missed_windows,60
timing.9.0.detected_timing_mae_ps,3.0621496269597217
timing.9.0.timed_within_3ps_recall,0.125
timing.12.0.event_windows,117
timing.12.0.missed_windows,97
timing.12.0.detected_timing_mae_ps,3.412844955105618
timing.12.0.timed_within_3ps_recall,0.07692307692307693
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.1324598342180252
per_source.881.0.75.log_loss,0.0014821088962739416
per_source.881.0.75.brier,3.7082148774204858e-06
per_source.881.3.0.log_loss,0.0068791274221268
per_source.881.3.0.brier,6.16687625048527e-05
per_source.881.6.0.log_loss,0.031252948414705134
per_source.881.6.0.brier,0.005061760275724498
per_source.881.9.0.log_loss,0.08479706184708576
per_source.881.9.0.brier,0.015914127416954242
per_source.881.12.0.log_loss,0.108361166706227
per_source.881.12.0.brier,0.021384053302600358
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.26046863198280334
per_source.882.0.75.log_loss,0.08016140171993344
per_source.882.0.75.brier,0.016126437813830042
per_source.882.3.0.log_loss,0.062066053977641734
per_source.882.3.0.brier,0.015299053436182007
per_source.882.6.0.log_loss,0.06500473947486504
per_source.882.6.0.brier,0.014962476256499898
per_source.882.9.0.log_loss,0.18537110020379344
per_source.882.9.0.brier,0.04580311367563981
per_source.882.12.0.log_loss,0.18403754876622003
per_source.882.12.0.brier,0.045569908912452044
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.1839200258255005
per_source.883.0.75.log_loss,0.002560370152744133
per_source.883.0.75.brier,4.031698991177376e-05
per_source.883.3.0.log_loss,0.010576458910606764
per_source.883.3.0.brier,0.00036925160979095435
