metric,value
event_nll,0.18767254047147627
classification.0.75.n,4262
classification.0.75.sources,30
classification.0.75.prevalence,0.001835647689985074
classification.0.75.log_loss,0.009338831719557138
classification.0.75.brier,0.0018183665269618057
classification.0.75.average_precision,0.04346134324337244
classification.0.75.threshold,0.011318758130073547
classification.0.75.recall,1.0
classification.0.75.false_positive_rate,0.05211865913318604
classification.0.75.precision,0.034082699623606855
classification.0.75.auroc,0.9674330474057411
classification.3.0.n,4262
classification.3.0.sources,30
classification.3.0.prevalence,0.004763478171696488
classification.3.0.log_loss,0.024329923002116383
classification.3.0.brier,0.004802113702007969
classification.3.0.average_precision,0.07306648021455045
classification.3.0.threshold,0.044761739671230316
classification.3.0.recall,0.7807713795261925
classification.3.0.false_positive_rate,0.05945939058302273
classification.3.0.precision,0.05913295257673438
classification.3.0.auroc,0.9241213562299563
classification.6.0.n,4262
classification.6.0.sources,30
classification.6.0.prevalence,0.014587754184419049
classification.6.0.log_loss,0.06289956398452311
classification.6.0.brier,0.014248940345750678
classification.6.0.average_precision,0.11118078070497059
classification.6.0.threshold,0.08577455580234528
classification.6.0.recall,0.5586006209794704
classification.6.0.false_positive_rate,0.06761622178170226
classification.6.0.precision,0.10897142446468916
classification.6.0.auroc,0.8690045223586405
classification.9.0.n,4262
classification.9.0.sources,30
classification.9.0.prevalence,0.02525818533908748
classification.9.0.log_loss,0.10333567656772273
classification.9.0.brier,0.023560935914357244
classification.9.0.average_precision,0.1521640986055809
classification.9.0.threshold,0.11271628737449646
classification.9.0.recall,0.46994520908356574
classification.9.0.false_positive_rate,0.07377578623083005
classification.9.0.precision,0.1416762515133651
classification.9.0.auroc,0.7914392860543781
classification.12.0.n,4262
classification.12.0.sources,30
classification.12.0.prevalence,0.03545634723307682
classification.12.0.log_loss,0.13653403071838272
classification.12.0.brier,0.032489148736367275
classification.12.0.average_precision,0.17357092787324416
classification.12.0.threshold,0.12843462824821472
classification.12.0.recall,0.41868136989443844
classification.12.0.false_positive_rate,0.07895450767566295
classification.12.0.precision,0.1631309350213883
classification.12.0.auroc,0.7643075768270675
timing.0.75.event_windows,4
timing.0.75.missed_windows,0
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,1.0
timing.3.0.event_windows,13
timing.3.0.missed_windows,3
timing.3.0.detected_timing_mae_ps,0.960503873581712
timing.3.0.timed_within_3ps_recall,0.7692307692307693
timing.6.0.event_windows,44
timing.6.0.missed_windows,19
timing.6.0.detected_timing_mae_ps,1.3382258353840997
timing.6.0.timed_within_3ps_recall,0.5454545454545454
timing.9.0.event_windows,80
timing.9.0.missed_windows,42
timing.9.0.detected_timing_mae_ps,2.427410626440387
timing.9.0.timed_within_3ps_recall,0.3
timing.12.0.event_windows,117
timing.12.0.missed_windows,67
timing.12.0.detected_timing_mae_ps,3.136474979772443
timing.12.0.timed_within_3ps_recall,0.20512820512820512
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.11245161294937134
per_source.881.0.75.log_loss,0.0012758538646287052
per_source.881.0.75.brier,6.823513299917552e-05
per_source.881.3.0.log_loss,0.007091756135394487
per_source.881.3.0.brier,0.0006259293317773058
per_source.881.6.0.log_loss,0.018112265143734717
per_source.881.6.0.brier,0.0029147415875966304
per_source.881.9.0.log_loss,0.07290927960194589
per_source.881.9.0.brier,0.013994139186803187
per_source.881.12.0.log_loss,0.08637644315812153
per_source.881.12.0.brier,0.018291754618172777
per_source.882.temperature_K,520.0
