metric,value
physical,0.24391822516918182
tda,0.2396530658006668
geometry,0.7177606821060181
future_physical,0.4524890184402466
physical_persistence,0.48208189010620117
condition_mean,0.868845522403717
geometry_ridge,0.36668115854263306
mean_reversion,0.4189567267894745
selection_score,0.3038314916193485
windows,960
sources,15
noncrystalline.physical,0.2944656312465668
noncrystalline.tda,0.19302420318126678
noncrystalline.geometry,0.909838080406189
noncrystalline.future_physical,0.5940569043159485
noncrystalline.physical_persistence,0.6915107369422913
noncrystalline.condition_mean,1.0094941854476929
noncrystalline.geometry_ridge,0.5191199779510498
noncrystalline.mean_reversion,0.5859836339950562
noncrystalline.windows,686
noncrystalline.sources,15
noncrystalline.order,0.42153120040893555
crystalline.physical,0.15156692266464233
crystalline.tda,0.26952627301216125
crystalline.geometry,0.3082084357738495
crystalline.future_physical,0.1782764345407486
crystalline.physical_persistence,0.03463588282465935
crystalline.condition_mean,0.6681824922561646
crystalline.geometry_ridge,0.04337980970740318
crystalline.mean_reversion,0.07084530591964722
crystalline.windows,274
crystalline.sources,13
crystalline.order,0.3262158930301666
per_degree_geometry.1,0.9071436524391174
per_degree_geometry.2,0.9054901003837585
per_degree_geometry.4,0.4153238832950592
per_degree_geometry.6,0.643085241317749
invariant_covariance_trace,85.81663054603098
invariant_effective_rank,4.05134540986967
projected_covariance_trace,85.81663054603098
projected_effective_rank,4.05134540986967
order,0.36730054020881653
order_components.q4,0.7486284375190735
order_components.q6,0.1649157702922821
order_components.w4,0.7500088214874268
order_components.w6,0.9991359114646912
order_components.qbar6,0.046919580549001694
order_components.mean_q6_coherence,0.09635816514492035
order_components.density_r12,0.06978889554738998
order_components.smooth_coordination,0.0626487135887146
all_invariant_rank_by_temperature.400,3.1063436090989875
all_invariant_rank_by_temperature.450,3.9740166776094727
all_invariant_rank_by_temperature.500,3.907708517651367
all_invariant_rank_by_temperature.510,3.9972547573526147
all_invariant_rank_by_temperature.520,4.06925563721594
all_projected_rank_by_temperature.400,3.1063436090989875
all_projected_rank_by_temperature.450,3.9740166776094727
all_projected_rank_by_temperature.500,3.907708517651367
all_projected_rank_by_temperature.510,3.9972547573526147
all_projected_rank_by_temperature.520,4.06925563721594
noncrystalline_invariant_rank_by_temperature.400,3.098872569080197
noncrystalline_invariant_rank_by_temperature.450,3.427100366782181
noncrystalline_invariant_rank_by_temperature.500,3.503680527692551
noncrystalline_invariant_rank_by_temperature.510,3.563247478439923
noncrystalline_invariant_rank_by_temperature.520,3.45178865434984
noncrystalline_projected_rank_by_temperature.400,3.098872569080197
noncrystalline_projected_rank_by_temperature.450,3.427100366782181
noncrystalline_projected_rank_by_temperature.500,3.503680527692551
noncrystalline_projected_rank_by_temperature.510,3.563247478439923
noncrystalline_projected_rank_by_temperature.520,3.45178865434984
invariant_correlation_effective_rank,4.506174552754712
projected_correlation_effective_rank,4.506174552754712
step,2048
total_updates,2048
anchor_draws,1048576
