metric,value
physical,0.31413793563842773
tda,0.24677428603172302
geometry,0.7146575450897217
future_physical,0.6123542189598083
physical_persistence,0.8920102715492249
condition_mean,0.8646552562713623
geometry_ridge,0.5716995596885681
mean_reversion,0.6634289026260376
selection_score,0.3758315071463585
windows,960
sources,15
noncrystalline.physical,0.36327311396598816
noncrystalline.tda,0.1764792650938034
noncrystalline.geometry,0.8330281376838684
noncrystalline.future_physical,0.710071861743927
noncrystalline.physical_persistence,1.0552760362625122
noncrystalline.condition_mean,0.9561211466789246
noncrystalline.geometry_ridge,0.685824990272522
noncrystalline.mean_reversion,0.7703085541725159
noncrystalline.windows,686
noncrystalline.sources,15
noncrystalline.order,0.509401798248291
crystalline.physical,0.22307680547237396
crystalline.tda,0.3156602680683136
crystalline.geometry,0.4451969861984253
crystalline.future_physical,0.3816755712032318
crystalline.physical_persistence,0.5197020769119263
crystalline.condition_mean,0.67256098985672
crystalline.geometry_ridge,0.3110489249229431
crystalline.mean_reversion,0.4169022738933563
crystalline.windows,274
crystalline.sources,13
crystalline.order,0.3862357437610626
per_degree_geometry.1,0.8371630311012268
per_degree_geometry.2,0.8715154528617859
per_degree_geometry.4,0.45553410053253174
per_degree_geometry.6,0.694417417049408
invariant_covariance_trace,7.030322799350153
invariant_effective_rank,1.301590425707634
projected_covariance_trace,7.030322799350153
projected_effective_rank,1.301590425707634
order,0.42740991711616516
order_components.q4,0.879772424697876
order_components.q6,0.24683618545532227
order_components.w4,0.8180190920829773
order_components.w6,0.9858224391937256
order_components.qbar6,0.06540998816490173
order_components.mean_q6_coherence,0.11634348332881927
order_components.density_r12,0.22808219492435455
order_components.smooth_coordination,0.07899347692728043
all_invariant_rank_by_temperature.400,3.327701035709224
all_invariant_rank_by_temperature.450,1.2510368972639745
all_invariant_rank_by_temperature.500,1.2501251127199007
all_invariant_rank_by_temperature.510,1.2153563177884377
all_invariant_rank_by_temperature.520,1.3240671511983926
all_projected_rank_by_temperature.400,3.327701035709224
all_projected_rank_by_temperature.450,1.2510368972639745
all_projected_rank_by_temperature.500,1.2501251127199007
all_projected_rank_by_temperature.510,1.2153563177884377
all_projected_rank_by_temperature.520,1.3240671511983926
noncrystalline_invariant_rank_by_temperature.400,3.407330678531189
noncrystalline_invariant_rank_by_temperature.450,2.547141678914676
noncrystalline_invariant_rank_by_temperature.500,2.6363047796894423
noncrystalline_invariant_rank_by_temperature.510,1.7035792042307032
noncrystalline_invariant_rank_by_temperature.520,2.9964268383445196
noncrystalline_projected_rank_by_temperature.400,3.407330678531189
noncrystalline_projected_rank_by_temperature.450,2.547141678914676
noncrystalline_projected_rank_by_temperature.500,2.6363047796894423
noncrystalline_projected_rank_by_temperature.510,1.7035792042307032
noncrystalline_projected_rank_by_temperature.520,2.9964268383445196
invariant_correlation_effective_rank,1.765579763169816
projected_correlation_effective_rank,1.765579763169816
step,2048
total_updates,2048
anchor_draws,1048576
