metric,value
event_nll,0.07388128467052765
classification.0.75.n,758
classification.0.75.sources,30
classification.0.75.prevalence,0.0
classification.0.75.log_loss,0.0005851969176584161
classification.0.75.brier,2.7986449664560904e-06
classification.0.75.average_precision,
classification.0.75.threshold,0.0021600453183054924
classification.0.75.recall,
classification.0.75.false_positive_rate,0.039433056050703116
classification.0.75.precision,0.0
classification.0.75.auroc,
classification.3.0.n,758
classification.3.0.sources,30
classification.3.0.prevalence,0.0020833333333333333
classification.3.0.log_loss,0.01007042784373688
classification.3.0.brier,0.0021023896717247185
classification.3.0.average_precision,0.05866646216483777
classification.3.0.threshold,0.005104178097099066
classification.3.0.recall,1.0
classification.3.0.false_positive_rate,0.04637260484000016
classification.3.0.precision,0.04308027829399026
classification.3.0.auroc,0.9665020585320233
classification.6.0.n,758
classification.6.0.sources,30
classification.6.0.prevalence,0.005559269162210339
classification.6.0.log_loss,0.021187354407749288
classification.6.0.brier,0.005487719158084869
classification.6.0.average_precision,0.10976576376825856
classification.6.0.threshold,0.01114773191511631
classification.6.0.recall,1.0
classification.6.0.false_positive_rate,0.045011072398173146
classification.6.0.precision,0.11047807412436718
classification.6.0.auroc,0.9712558786750911
classification.9.0.n,758
classification.9.0.sources,30
classification.9.0.prevalence,0.00858957219251337
classification.9.0.log_loss,0.025947370208072612
classification.9.0.brier,0.007362887874410857
classification.9.0.average_precision,0.16993491789504872
classification.9.0.threshold,0.013290819711983204
classification.9.0.recall,1.0
classification.9.0.false_positive_rate,0.040114321245697034
classification.9.0.precision,0.1776197570303021
classification.9.0.auroc,0.9765586715484387
classification.12.0.n,758
classification.12.0.sources,30
classification.12.0.prevalence,0.013703208556149732
classification.12.0.log_loss,0.04875575357712384
classification.12.0.brier,0.011936504529297265
classification.12.0.average_precision,0.15793938511828282
classification.12.0.threshold,0.014361186884343624
classification.12.0.recall,0.7373983739837399
classification.12.0.false_positive_rate,0.040774125531834786
classification.12.0.precision,0.20080884414990188
classification.12.0.auroc,0.8627607612437294
timing.0.75.event_windows,0
timing.0.75.missed_windows,0
timing.0.75.detected_timing_mae_ps,
timing.0.75.timed_within_3ps_recall,
timing.3.0.event_windows,1
timing.3.0.missed_windows,0
timing.3.0.detected_timing_mae_ps,0.21396629518863564
timing.3.0.timed_within_3ps_recall,1.0
timing.6.0.event_windows,3
timing.6.0.missed_windows,0
timing.6.0.detected_timing_mae_ps,1.6647943874271505
timing.6.0.timed_within_3ps_recall,1.0
timing.9.0.event_windows,5
timing.9.0.missed_windows,0
timing.9.0.detected_timing_mae_ps,2.5135567098215787
timing.9.0.timed_within_3ps_recall,0.6
timing.12.0.event_windows,8
timing.12.0.missed_windows,2
timing.12.0.detected_timing_mae_ps,3.0814092149092507
timing.12.0.timed_within_3ps_recall,0.5
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.0034766225144267082
per_source.881.0.75.log_loss,0.0002883348087777579
per_source.881.0.75.brier,9.93098091512064e-08
per_source.881.3.0.log_loss,0.0011753304359957465
per_source.881.3.0.brier,1.8536253407674863e-06
per_source.881.6.0.log_loss,0.0024595505241926394
per_source.881.6.0.brier,8.250525208701146e-06
per_source.881.9.0.log_loss,0.00305021421053261
per_source.881.9.0.brier,1.2277837675084624e-05
per_source.881.12.0.log_loss,0.003476622611083509
per_source.881.12.0.brier,1.58475569838069e-05
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.003390531986951828
per_source.882.0.75.log_loss,0.00028227546085259926
per_source.882.0.75.brier,9.306093015840931e-08
per_source.882.3.0.log_loss,0.001116576292885368
per_source.882.3.0.brier,1.5880441509588126e-06
per_source.882.6.0.log_loss,0.002349736912734015
per_source.882.6.0.brier,7.4424208835606e-06
per_source.882.9.0.log_loss,0.002983117520353534
per_source.882.9.0.brier,1.1702520611057034e-05
per_source.882.12.0.log_loss,0.0033905320408939986
per_source.882.12.0.brier,1.4971288187529975e-05
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.6750757694244385
per_source.883.0.75.log_loss,0.001115224505318414
per_source.883.0.75.brier,7.3220859292584465e-06
per_source.883.3.0.log_loss,0.009929310487557552
per_source.883.3.0.brier,0.0007345789194097604
per_source.883.6.0.log_loss,0.08691750518634904
per_source.883.6.0.brier,0.031137740425381644
per_source.883.9.0.log_loss,0.14289812847715092
per_source.883.9.0.brier,0.05586612104654505
per_source.883.12.0.log_loss,0.41689674187558645
per_source.883.12.0.brier,0.09820929999603346
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.004322415683418512
per_source.908.0.75.log_loss,0.00032241029417885415
per_source.908.0.75.brier,2.2325554849618216e-07
per_source.908.3.0.log_loss,0.0014917033229239754
per_source.908.3.0.brier,8.642072197896415e-06
per_source.908.6.0.log_loss,0.0032369787670690165
per_source.908.6.0.brier,4.5190932809408864e-05
per_source.908.9.0.log_loss,0.0037874363827736218
per_source.908.9.0.brier,5.55091220389458e-05
per_source.908.12.0.log_loss,0.004322415677193089
per_source.908.12.0.brier,7.02551692389773e-05
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.002934421878308058
per_source.909.0.75.log_loss,0.000261842676567456
per_source.909.0.75.brier,7.345850842960974e-08
per_source.909.3.0.log_loss,0.0010158885050758973
per_source.909.3.0.brier,1.1606614757502066e-06
per_source.909.6.0.log_loss,0.002117506000573204
per_source.909.6.0.brier,5.088084184933528e-06
per_source.909.9.0.log_loss,0.0025576843197732567
per_source.909.9.0.brier,7.292026105544215e-06
per_source.909.12.0.log_loss,0.002934421838826929
per_source.909.12.0.brier,9.5881470570293e-06
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.0027941749431192875
per_source.910.0.75.log_loss,0.0002472682182515235
per_source.910.0.75.brier,6.332620301786679e-08
per_source.910.3.0.log_loss,0.0009363515710795355
per_source.910.3.0.brier,9.234640955283254e-07
per_source.910.6.0.log_loss,0.0019425642744244345
per_source.910.6.0.brier,3.9871493153602225e-06
per_source.910.9.0.log_loss,0.0024455493952796337
per_source.910.9.0.brier,6.441101173622755e-06
per_source.910.12.0.log_loss,0.002794174763916679
per_source.910.12.0.brier,8.351231660175487e-06
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.0033368468284606934
per_source.911.0.75.log_loss,0.00028161511863464083
per_source.911.0.75.brier,9.247413139519492e-08
per_source.911.3.0.log_loss,0.001127591065484875
