metric,value
event_nll,0.07898057232710079
classification.0.75.n,758
classification.0.75.sources,30
classification.0.75.prevalence,0.0
classification.0.75.log_loss,0.0007060387510231687
classification.0.75.brier,3.0712184566933252e-06
classification.0.75.average_precision,
classification.0.75.threshold,0.003980225883424282
classification.0.75.recall,
classification.0.75.false_positive_rate,0.050111711677176575
classification.0.75.precision,0.0
classification.0.75.auroc,
classification.3.0.n,758
classification.3.0.sources,30
classification.3.0.prevalence,0.0020833333333333333
classification.3.0.log_loss,0.011088145553324949
classification.3.0.brier,0.0020963498210609466
classification.3.0.average_precision,0.055596664860793614
classification.3.0.threshold,0.025950513780117035
classification.3.0.recall,1.0
classification.3.0.false_positive_rate,0.05009352416624842
classification.3.0.precision,0.040008324811188746
classification.3.0.auroc,0.964537180722862
classification.6.0.n,758
classification.6.0.sources,30
classification.6.0.prevalence,0.005559269162210339
classification.6.0.log_loss,0.0224409958499342
classification.6.0.brier,0.005311490157858633
classification.6.0.average_precision,0.10017782549529756
classification.6.0.threshold,0.059785146266222
classification.6.0.recall,1.0
classification.6.0.false_positive_rate,0.04677325192573878
classification.6.0.precision,0.10676018225017746
classification.6.0.auroc,0.9678122824059249
classification.9.0.n,758
classification.9.0.sources,30
classification.9.0.prevalence,0.00858957219251337
classification.9.0.log_loss,0.02899538299971602
classification.9.0.brier,0.007431413515733873
classification.9.0.average_precision,0.1634529922075327
classification.9.0.threshold,0.06377270817756653
classification.9.0.recall,1.0
classification.9.0.false_positive_rate,0.04596104282712885
classification.9.0.precision,0.158608450829677
classification.9.0.auroc,0.9739794104231227
classification.12.0.n,758
classification.12.0.sources,30
classification.12.0.prevalence,0.013703208556149732
classification.12.0.log_loss,0.051524087575485274
classification.12.0.brier,0.012034023908751702
classification.12.0.average_precision,0.14388397969673614
classification.12.0.threshold,0.07228711992502213
classification.12.0.recall,0.7373983739837399
classification.12.0.false_positive_rate,0.04466313385455066
classification.12.0.precision,0.18658607639755778
classification.12.0.auroc,0.8501029895417549
timing.0.75.event_windows,0
