metric,value
step,622
physical,0.12029608339071274
instantaneous_tda,0.1238761842250824
physical_blocks.radial,0.0722384974360466
physical_blocks.pair,0.08255708962678909
physical_blocks.angular,0.3165282607078552
physical_blocks.moments,0.009860499761998653
tda_blocks.h0,0.0435640886425972
tda_blocks.h1,0.0417594276368618
tda_blocks.h2,0.2863050401210785
selection_sources,15
selection_rows,480
state_std_mean,0.00039948632055961347
projector_std_mean,0.521567593832593
physical_prediction_std_mean,0.49615946758074414
tda_prediction_std_mean,0.17963258529712073
score,0.15126512944698334
present_score,0.15126512944698334
training_mean_score,0.5097569487988949
gain_over_training_mean,0.35849181935191154
bond_order,0.8630145788192749
bond_order_blocks.q4,0.25066059827804565
bond_order_blocks.q6,1.4753684997558594
bond_order_zero_baseline,1.2486767768859863
bond_order_magnitude_mse.Q4,0.019455991685390472
bond_order_magnitude_mse.Q6,0.11659328639507294
