metric,value
step,250
physical,0.16075736284255981
instantaneous_tda,0.12471163272857666
physical_blocks.radial,0.16071964800357819
physical_blocks.pair,0.09369209408760071
physical_blocks.angular,0.35312172770500183
physical_blocks.moments,0.03549598902463913
tda_blocks.h0,0.0318949930369854
tda_blocks.h1,0.04059654846787453
tda_blocks.h2,0.30164337158203125
selection_sources,15
selection_rows,480
state_std_mean,0.0023853273908196635
projector_std_mean,0.5777476236960084
physical_prediction_std_mean,0.4883824351838425
tda_prediction_std_mean,0.19454795510410808
score,0.19193527102470398
present_score,0.19193527102470398
training_mean_score,0.5097569487988949
gain_over_training_mean,0.3178216777741909
