metric,value
step,1046
physical,0.11784500628709793
instantaneous_tda,0.11760509759187698
physical_blocks.radial,0.05990530177950859
physical_blocks.pair,0.07780761271715164
physical_blocks.angular,0.3248855471611023
physical_blocks.moments,0.008781577460467815
tda_blocks.h0,0.029739191755652428
tda_blocks.h1,0.03681791201233864
tda_blocks.h2,0.28625819087028503
selection_sources,15
selection_rows,480
state_std_mean,0.0005888857855593347
projector_std_mean,0.6740559448792265
physical_prediction_std_mean,0.5184805522188068
tda_prediction_std_mean,0.20284583504306666
score,0.14724628068506718
present_score,0.14724628068506718
training_mean_score,0.5097569487988949
gain_over_training_mean,0.3625106681138277
