metric,value
step,1465
physical,0.21750614047050476
instantaneous_tda,0.09254956245422363
physical_blocks.radial,0.1618681401014328
physical_blocks.pair,0.23116807639598846
physical_blocks.angular,0.4055469334125519
physical_blocks.moments,0.07144142687320709
tda_blocks.h0,0.035599369555711746
tda_blocks.h1,0.05190757289528847
tda_blocks.h2,0.1901417374610901
selection_sources,15
selection_rows,480
state_std_mean,0.002329256803742256
projector_std_mean,0.6619627335552215
physical_prediction_std_mean,0.6611474290222038
tda_prediction_std_mean,0.23952434644981452
score,0.24064353108406067
present_score,0.24064353108406067
training_mean_score,0.8598394952714443
gain_over_training_mean,0.6191959641873837
