metric,value
step,1067
physical,0.2255033552646637
instantaneous_tda,0.12069972604513168
physical_blocks.radial,0.25440332293510437
physical_blocks.pair,0.12092569470405579
physical_blocks.angular,0.2865315079689026
physical_blocks.moments,0.24015292525291443
tda_blocks.h0,0.022788112983107567
tda_blocks.h1,0.03636203706264496
tda_blocks.h2,0.3029490113258362
selection_sources,15
selection_rows,480
state_std_mean,0.37780122783082704
projector_std_mean,0.2526592241413491
physical_prediction_std_mean,0.2722120837452214
tda_prediction_std_mean,0.1142193672322635
score,0.2556782867759466
present_score,0.2556782867759466
training_mean_score,0.4047207422554493
gain_over_training_mean,0.14904245547950268
