metric,value
step,4
physical,8.510956764221191
instantaneous_tda,5.2866387367248535
physical_blocks.radial,9.093432426452637
physical_blocks.pair,9.372815132141113
physical_blocks.angular,9.196617126464844
physical_blocks.moments,6.380960941314697
tda_blocks.h0,7.369142055511475
tda_blocks.h1,4.471250057220459
tda_blocks.h2,4.019524097442627
selection_sources,1
selection_rows,16
state_std_mean,0.012727944180369377
score,31.54589593410492
future.0.75.physical,19.61501121520996
future.0.75.tda,14.806865692138672
future.3.0.physical,19.80279541015625
future.3.0.tda,14.840263366699219
future.9.0.physical,14.600702285766602
future.9.0.tda,14.838179588317871
