metric,value
step,4
physical,0.30222976207733154
instantaneous_tda,0.09827526658773422
physical_blocks.radial,0.36862146854400635
physical_blocks.pair,0.18859389424324036
physical_blocks.angular,0.33709651231765747
physical_blocks.moments,0.31460726261138916
tda_blocks.h0,0.09050244092941284
tda_blocks.h1,0.12071377784013748
tda_blocks.h2,0.08360956609249115
selection_sources,1
selection_rows,16
state_std_mean,0.0005029938765801489
score,1.4452849384397268
future.0.75.physical,1.3015224933624268
future.0.75.tda,0.35902297496795654
future.3.0.physical,1.0661062002182007
future.3.0.tda,0.3374392092227936
future.9.0.physical,0.7310835123062134
future.9.0.tda,0.3305257260799408
