arm,representation,target,mse
A-observed,conditions,observed_angular,1.8784692917329568
A-observed,conditions,relaxed_angular,1.6652989217545837
A-observed,conditions,observed_l6,0.7829689246757576
A-observed,conditions,relaxed_l6,0.5325144283240661
A-observed,conditions,future_order_9,1.1027045881647308
A-observed,descriptor,observed_angular,1.774357517474952
A-observed,descriptor,relaxed_angular,1.5363271275656492
A-observed,descriptor,observed_l6,0.6398774448549375
A-observed,descriptor,relaxed_l6,0.4956440064170844
A-observed,descriptor,future_order_9,1.049348422452264
A-observed,descriptor_pca64,observed_angular,1.7744327300305789
A-observed,descriptor_pca64,relaxed_angular,1.5369859339790612
A-observed,descriptor_pca64,observed_l6,0.6394622614374385
A-observed,descriptor_pca64,relaxed_l6,0.4955100125562846
A-observed,descriptor_pca64,future_order_9,1.049615985987475
A-observed,exported,observed_angular,1.8636890219524505
A-observed,exported,relaxed_angular,1.6228059697745874
A-observed,exported,observed_l6,0.6023518553779771
A-observed,exported,relaxed_l6,0.47666845456939577
A-observed,exported,future_order_9,1.0552554595788632
A-observed,initial_exported,observed_angular,1.8646959178925802
A-observed,initial_exported,relaxed_angular,1.6384245432083844
A-observed,initial_exported,observed_l6,0.6053676861260706
A-observed,initial_exported,relaxed_l6,0.47806039376785825
A-observed,initial_exported,future_order_9,1.0590839617303573
A-observed,initial_pooled,observed_angular,1.8975529652864984
A-observed,initial_pooled,relaxed_angular,1.7128634497756137
A-observed,initial_pooled,observed_l6,0.6193445371851946
A-observed,initial_pooled,relaxed_l6,0.5000945509033045
A-observed,initial_pooled,future_order_9,1.0841516031728438
A-observed,pooled,observed_angular,1.893004293475921
A-observed,pooled,relaxed_angular,1.713168311860257
A-observed,pooled,observed_l6,0.6182534542943661
A-observed,pooled,relaxed_l6,0.5010064154528664
A-observed,pooled,future_order_9,1.0824465491964173
B-relaxed,conditions,observed_angular,1.8784692917329568
B-relaxed,conditions,relaxed_angular,1.6652989217545837
B-relaxed,conditions,observed_l6,0.7829689246757576
B-relaxed,conditions,relaxed_l6,0.5325144283240661
B-relaxed,conditions,future_order_9,1.1027045881647308
B-relaxed,descriptor,observed_angular,1.814837169678261
B-relaxed,descriptor,relaxed_angular,1.3849561753867117
B-relaxed,descriptor,observed_l6,0.6819305894741168
B-relaxed,descriptor,relaxed_l6,0.42087802343497366
B-relaxed,descriptor,future_order_9,1.004546548385406
B-relaxed,descriptor_pca64,observed_angular,1.8147897261194883
B-relaxed,descriptor_pca64,relaxed_angular,1.3849444941801872
B-relaxed,descriptor_pca64,observed_l6,0.6819874854603162
B-relaxed,descriptor_pca64,relaxed_l6,0.42086606425970485
B-relaxed,descriptor_pca64,future_order_9,1.004316556288783
B-relaxed,exported,observed_angular,1.8821437820481757
B-relaxed,exported,relaxed_angular,1.5039984176539294
B-relaxed,exported,observed_l6,0.6724752128124237
B-relaxed,exported,relaxed_l6,0.3988654369303428
B-relaxed,exported,future_order_9,1.0447141532039192
B-relaxed,initial_exported,observed_angular,1.8811216464731844
B-relaxed,initial_exported,relaxed_angular,1.5041561156567087
B-relaxed,initial_exported,observed_l6,0.6723084439523519
B-relaxed,initial_exported,relaxed_l6,0.39922543246460307
B-relaxed,initial_exported,future_order_9,1.0479979683247318
B-relaxed,initial_pooled,observed_angular,1.901397911598906
B-relaxed,initial_pooled,relaxed_angular,1.5147542387282251
B-relaxed,initial_pooled,observed_l6,0.6918184768718978
B-relaxed,initial_pooled,relaxed_l6,0.41953324559362953
B-relaxed,initial_pooled,future_order_9,1.0436136064662909
B-relaxed,pooled,observed_angular,1.9022989374740669
B-relaxed,pooled,relaxed_angular,1.5149752881742944
B-relaxed,pooled,observed_l6,0.6924935006070881
B-relaxed,pooled,relaxed_l6,0.4196616581835163
B-relaxed,pooled,future_order_9,1.0402633900637739
C-relaxed-teacher,exported,observed_angular,1.864556636257718
C-relaxed-teacher,exported,relaxed_angular,1.624594765350533
C-relaxed-teacher,exported,observed_l6,0.6027179007418453
C-relaxed-teacher,exported,relaxed_l6,0.4774657120530416
C-relaxed-teacher,exported,future_order_9,1.0545170262184307
C-relaxed-teacher,initial_exported,observed_angular,1.8646959178925802
C-relaxed-teacher,initial_exported,relaxed_angular,1.6384245432083844
C-relaxed-teacher,initial_exported,observed_l6,0.6053676861260706
C-relaxed-teacher,initial_exported,relaxed_l6,0.47806039376785825
C-relaxed-teacher,initial_exported,future_order_9,1.0590839617303573
C-relaxed-teacher,initial_pooled,observed_angular,1.8975529652864984
C-relaxed-teacher,initial_pooled,relaxed_angular,1.7128634497756137
C-relaxed-teacher,initial_pooled,observed_l6,0.6193445371851946
C-relaxed-teacher,initial_pooled,relaxed_l6,0.5000945509033045
C-relaxed-teacher,initial_pooled,future_order_9,1.0841516031728438
C-relaxed-teacher,pooled,observed_angular,1.8971648049075154
C-relaxed-teacher,pooled,relaxed_angular,1.713113100574507
C-relaxed-teacher,pooled,observed_l6,0.6189274196901049
C-relaxed-teacher,pooled,relaxed_l6,0.5009662561870452
C-relaxed-teacher,pooled,future_order_9,1.083274452504702
D-physical-distance,exported,observed_angular,1.8760066693338255
D-physical-distance,exported,relaxed_angular,1.5005705472043096
D-physical-distance,exported,observed_l6,0.6740521994419396
D-physical-distance,exported,relaxed_l6,0.3997186734060354
D-physical-distance,exported,future_order_9,1.0452542603433055
D-physical-distance,initial_exported,observed_angular,1.8811216464731844
D-physical-distance,initial_exported,relaxed_angular,1.5041561156567087
D-physical-distance,initial_exported,observed_l6,0.6723084439523519
D-physical-distance,initial_exported,relaxed_l6,0.39922543246460307
D-physical-distance,initial_exported,future_order_9,1.0479979683247318
D-physical-distance,initial_pooled,observed_angular,1.9013979114747295
D-physical-distance,initial_pooled,relaxed_angular,1.5147542387282251
D-physical-distance,initial_pooled,observed_l6,0.6918184768718978
D-physical-distance,initial_pooled,relaxed_l6,0.419533245593387
D-physical-distance,initial_pooled,future_order_9,1.0436136064662909
D-physical-distance,pooled,observed_angular,1.9025104382851472
D-physical-distance,pooled,relaxed_angular,1.51437792869195
D-physical-distance,pooled,observed_l6,0.6911661533638835
D-physical-distance,pooled,relaxed_l6,0.4191422402246341
D-physical-distance,pooled,future_order_9,1.041558643640019
