contrast,arm,representation,target,readout,reference_arm,reference_representation,reference,candidate,change_percent,ci95_lower,ci95_upper,roots,roots_improved
training,A-observed,exported,current_order,ridge,A-observed,initial_exported,0.4142751248963016,0.4130910147406807,-0.2858269986442563,-2.048656880881106,1.6798967364072148,15,8
descriptor_control,A-observed,exported,current_order,ridge,A-observed,descriptor,0.3593329613542505,0.4130910147406807,14.960512718851993,9.068092820251746,20.775862532936134,15,2
training,A-observed,exported,current_order,residual,A-observed,initial_exported,0.4102574052741322,0.41903476253337796,2.139475642951716,0.08657662634923458,4.291056938872774,15,4
descriptor_control,A-observed,exported,current_order,residual,A-observed,descriptor,0.3593329613542505,0.41903476253337796,16.61461864064011,10.135816952846284,23.00573720175832,15,2
training,A-observed,exported,future_order_12,ridge,A-observed,initial_exported,0.5746313547663651,0.5768992263350019,0.39466547549582565,-0.0037663903304821452,0.8056277616564416,15,5
descriptor_control,A-observed,exported,future_order_12,ridge,A-observed,descriptor,0.5922071368684104,0.5768992263350019,-2.5848912619251263,-4.436982969667105,-0.7147797221554876,15,11
persistence,A-observed,exported,future_order_12,ridge,A-observed,persistence,0.8955950880579524,0.5768992263350019,-35.58481572448377,-39.21364227995998,-31.4544299877135,15,15
training,A-observed,exported,future_order_12,residual,A-observed,initial_exported,0.5716279070055578,0.5746688460583135,0.5319787602193093,-0.1706380806807908,1.2510596523421802,15,8
descriptor_control,A-observed,exported,future_order_12,residual,A-observed,descriptor,0.5922071368684104,0.5746688460583135,-2.9615129096281056,-4.838923918552633,-0.9634606534749052,15,9
persistence,A-observed,exported,future_order_12,residual,A-observed,persistence,0.8955950880579524,0.5746688460583135,-35.83385463798706,-39.46844750653474,-31.72085216609203,15,15
training,A-observed,exported,future_order_3,ridge,A-observed,initial_exported,0.5668315280401655,0.5645508870635582,-0.4023489985627071,-0.8156645083301902,-0.019386832044884804,15,8
descriptor_control,A-observed,exported,future_order_3,ridge,A-observed,descriptor,0.5754496781163801,0.5645508870635582,-1.8939607523106083,-3.3941704306076956,-0.34534874663376597,15,11
persistence,A-observed,exported,future_order_3,ridge,A-observed,persistence,0.8318929066854726,0.5645508870635582,-32.136590836805,-35.14303807987543,-28.352888693378844,15,15
training,A-observed,exported,future_order_3,residual,A-observed,initial_exported,0.5671245498934667,0.5665163240821361,-0.10724730774657187,-1.1965711803670624,0.8631669978868682,15,6
descriptor_control,A-observed,exported,future_order_3,residual,A-observed,descriptor,0.5754496781163801,0.5665163240821361,-1.5524127259025633,-3.2826131788575723,0.3109747801988876,15,11
persistence,A-observed,exported,future_order_3,residual,A-observed,persistence,0.8318929066854726,0.5665163240821361,-31.900330014915212,-35.155615520806506,-27.783409330851573,15,15
training,A-observed,exported,future_order_9,ridge,A-observed,initial_exported,0.5551705392226775,0.5552080874349551,0.006763365421047496,-0.7962131034996547,0.8068059074752398,15,7
descriptor_control,A-observed,exported,future_order_9,ridge,A-observed,descriptor,0.5669416659463399,0.5552080874349551,-2.0696271267695687,-3.7879822165872916,-0.2403377608706732,15,10
persistence,A-observed,exported,future_order_9,ridge,A-observed,persistence,0.8820290234427766,0.5552080874349551,-37.053308601134106,-39.32701538416542,-34.20919901846141,15,15
training,A-observed,exported,future_order_9,residual,A-observed,initial_exported,0.5529797926316964,0.5557496757950556,0.5009013349614566,-0.2893272621423501,1.1445223557933812,15,7
descriptor_control,A-observed,exported,future_order_9,residual,A-observed,descriptor,0.5669416659463399,0.5557496757950556,-1.9740990693641436,-3.746829372674315,-0.09889355643286937,15,10
persistence,A-observed,exported,future_order_9,residual,A-observed,persistence,0.8820290234427766,0.5557496757950556,-36.9919060456959,-39.259323155284214,-34.07120179377747,15,15
training,A-observed,exported,hazard,linear,A-observed,initial_exported,0.20993033250172932,0.20008071598907312,-4.691850098686934,-9.511324189165995,1.2485941164594072,15,8
descriptor_control,A-observed,exported,hazard,linear,A-observed,descriptor,0.22257830277085305,0.20008071598907312,-10.107717824113994,-14.295078628548572,-4.219675167737475,15,10
training,A-observed,exported,hazard,mlp,A-observed,initial_exported,0.19558305963873862,0.19558486541112263,0.0009232764776934133,-0.015631392549297907,0.017731352199642503,15,5
descriptor_control,A-observed,exported,hazard,mlp,A-observed,descriptor,0.19560414403676987,0.19558486541112263,-0.009855939270697611,-0.023977143276004143,0.00620679430151315,15,6
training,A-observed,exported,observed_angular,ridge,A-observed,initial_exported,0.908444535245454,0.9260341333551163,1.9362324750965332,0.2689007343842864,3.772246537241429,15,5
descriptor_control,A-observed,exported,observed_angular,ridge,A-observed,descriptor,0.7133781461641466,0.9260341333551163,29.809714291701628,26.17683708137676,33.50918871005939,15,0
training,A-observed,exported,observed_angular,residual,A-observed,initial_exported,0.9094383247056054,0.9268554554768935,1.915152495572059,0.2794611599335145,3.709990103834471,15,4
descriptor_control,A-observed,exported,observed_angular,residual,A-observed,descriptor,0.7133781461641466,0.9268554554768935,29.924845674151925,26.355831973794356,33.52154708210842,15,0
training,A-observed,exported,observed_l6,ridge,A-observed,initial_exported,0.26209628656292583,0.271597967440777,3.6252634489615243,1.8783047423278372,5.422629217966523,15,5
