arm,representation,target,mse
A-observed,conditions,observed_angular,1.8784692917329568
A-observed,conditions,relaxed_angular,1.6652989217545837
A-observed,conditions,observed_l6,0.7829689246757576
A-observed,conditions,relaxed_l6,0.5325144283240661
A-observed,conditions,future_order_9,1.1027045881647306
A-observed,descriptor,observed_angular,1.774357517474952
A-observed,descriptor,relaxed_angular,1.5363271275656492
A-observed,descriptor,observed_l6,0.6398774448549374
A-observed,descriptor,relaxed_l6,0.4956440064170844
A-observed,descriptor,future_order_9,1.049348422452264
A-observed,descriptor_pca64,observed_angular,1.7744327300305789
A-observed,descriptor_pca64,relaxed_angular,1.5369859339790612
A-observed,descriptor_pca64,observed_l6,0.6394622614374383
A-observed,descriptor_pca64,relaxed_l6,0.4955100125562846
A-observed,descriptor_pca64,future_order_9,1.049615985987475
A-observed,exported,observed_angular,1.9395966409084697
A-observed,exported,relaxed_angular,1.6702520009566797
A-observed,exported,observed_l6,0.6518903598965455
A-observed,exported,relaxed_l6,0.5040670880228088
A-observed,exported,future_order_9,1.086078916969321
A-observed,initial_exported,observed_angular,1.8798674121033403
A-observed,initial_exported,relaxed_angular,1.708977543525786
A-observed,initial_exported,observed_l6,0.6229521779033045
A-observed,initial_exported,relaxed_l6,0.5035532863708795
A-observed,initial_exported,future_order_9,1.0903315015137194
A-observed,initial_pooled,observed_angular,1.897552965286498
A-observed,initial_pooled,relaxed_angular,1.7128634497756139
A-observed,initial_pooled,observed_l6,0.6193445371851947
A-observed,initial_pooled,relaxed_l6,0.5000945509033045
A-observed,initial_pooled,future_order_9,1.0841516031728435
A-observed,pooled,observed_angular,1.9313518330765265
A-observed,pooled,relaxed_angular,1.6801011144678342
A-observed,pooled,observed_l6,0.6348659809989234
A-observed,pooled,relaxed_l6,0.5070439649823433
A-observed,pooled,future_order_9,1.0909924532151005
B-relaxed,conditions,observed_angular,1.8784692917329568
B-relaxed,conditions,relaxed_angular,1.6652989217545837
B-relaxed,conditions,observed_l6,0.7829689246757576
B-relaxed,conditions,relaxed_l6,0.5325144283240661
B-relaxed,conditions,future_order_9,1.1027045881647306
B-relaxed,descriptor,observed_angular,1.814837169678261
B-relaxed,descriptor,relaxed_angular,1.384956175386712
B-relaxed,descriptor,observed_l6,0.6819305894741167
B-relaxed,descriptor,relaxed_l6,0.4208780234349736
B-relaxed,descriptor,future_order_9,1.004546548385406
B-relaxed,descriptor_pca64,observed_angular,1.8147897261194887
B-relaxed,descriptor_pca64,relaxed_angular,1.3849444941801874
B-relaxed,descriptor_pca64,observed_l6,0.6819874854603161
B-relaxed,descriptor_pca64,relaxed_l6,0.4208660642597048
B-relaxed,descriptor_pca64,future_order_9,1.0043165562887832
B-relaxed,exported,observed_angular,1.8741185690897209
B-relaxed,exported,relaxed_angular,1.577646849539451
B-relaxed,exported,observed_l6,0.6898691112020363
B-relaxed,exported,relaxed_l6,0.42652087299453945
B-relaxed,exported,future_order_9,1.0548613222218894
B-relaxed,initial_exported,observed_angular,1.8895053974042337
B-relaxed,initial_exported,relaxed_angular,1.5114362528684673
B-relaxed,initial_exported,observed_l6,0.6880594777408988
B-relaxed,initial_exported,relaxed_l6,0.4185471918815893
B-relaxed,initial_exported,future_order_9,1.0376103551650886
B-relaxed,initial_pooled,observed_angular,1.9013979114747297
B-relaxed,initial_pooled,relaxed_angular,1.5147542387282251
B-relaxed,initial_pooled,observed_l6,0.6918184768718978
B-relaxed,initial_pooled,relaxed_l6,0.419533245593387
B-relaxed,initial_pooled,future_order_9,1.0436136064662909
B-relaxed,pooled,observed_angular,1.8772267893888055
B-relaxed,pooled,relaxed_angular,1.5382665956487473
B-relaxed,pooled,observed_l6,0.6844948492012918
B-relaxed,pooled,relaxed_l6,0.4150287064553898
B-relaxed,pooled,future_order_9,1.0538629083971802
C-relaxed-teacher,exported,observed_angular,1.91852370579727
C-relaxed-teacher,exported,relaxed_angular,1.6528334158666742
C-relaxed-teacher,exported,observed_l6,0.6443277099402622
C-relaxed-teacher,exported,relaxed_l6,0.4926943810045486
C-relaxed-teacher,exported,future_order_9,1.0823035376767316
C-relaxed-teacher,initial_exported,observed_angular,1.87986741210334
C-relaxed-teacher,initial_exported,relaxed_angular,1.7089775435257857
C-relaxed-teacher,initial_exported,observed_l6,0.6229521779033045
C-relaxed-teacher,initial_exported,relaxed_l6,0.5035532863708795
C-relaxed-teacher,initial_exported,future_order_9,1.0903315015137194
C-relaxed-teacher,initial_pooled,observed_angular,1.8975529652864984
C-relaxed-teacher,initial_pooled,relaxed_angular,1.7128634497756137
C-relaxed-teacher,initial_pooled,observed_l6,0.6193445371851946
C-relaxed-teacher,initial_pooled,relaxed_l6,0.5000945509033045
C-relaxed-teacher,initial_pooled,future_order_9,1.0841516031728438
C-relaxed-teacher,pooled,observed_angular,1.9234836159894864
C-relaxed-teacher,pooled,relaxed_angular,1.6795838417398046
C-relaxed-teacher,pooled,observed_l6,0.6333263606221105
C-relaxed-teacher,pooled,relaxed_l6,0.5002446277811639
C-relaxed-teacher,pooled,future_order_9,1.0860993367076541
D-physical-distance,exported,observed_angular,1.8444340903001528
D-physical-distance,exported,relaxed_angular,1.5139744958117565
D-physical-distance,exported,observed_l6,0.6690093548502773
D-physical-distance,exported,relaxed_l6,0.40726516461205997
D-physical-distance,exported,future_order_9,1.038596491094601
D-physical-distance,initial_exported,observed_angular,1.888687268520395
D-physical-distance,initial_exported,relaxed_angular,1.5114881094061272
D-physical-distance,initial_exported,observed_l6,0.6879886108605813
D-physical-distance,initial_exported,relaxed_l6,0.41859048445803637
D-physical-distance,initial_exported,future_order_9,1.0373264213616493
D-physical-distance,initial_pooled,observed_angular,1.901397911598906
D-physical-distance,initial_pooled,relaxed_angular,1.5147542387282251
D-physical-distance,initial_pooled,observed_l6,0.6918184768718978
D-physical-distance,initial_pooled,relaxed_l6,0.41953324559362953
D-physical-distance,initial_pooled,future_order_9,1.0436136064662909
D-physical-distance,pooled,observed_angular,1.9022431229706853
D-physical-distance,pooled,relaxed_angular,1.5129578694623587
D-physical-distance,pooled,observed_l6,0.687546080040435
D-physical-distance,pooled,relaxed_l6,0.41455900835571813
D-physical-distance,pooled,future_order_9,1.045476831672325
