arm,representation,target,readout,population,rows,sources,mse,rmse
A-observed,conditions,current_order,ridge,all,960,15,1.0223316306934944,1.0111041641163854
A-observed,conditions,current_order,ridge,PTM_other,686,15,1.1980344207661926,1.094547587255206
A-observed,conditions,current_order,ridge,PTM_crystalline,274,13,0.8984645709405584,0.9478737104385575
A-observed,conditions,current_order,ridge,T400,192,3,0.7234956876337384,0.8505854969570892
A-observed,conditions,current_order,ridge,T450,192,3,1.084003787230677,1.0411550255512754
A-observed,conditions,current_order,ridge,T500,192,3,1.175625987563476,1.0842628775179366
A-observed,conditions,current_order,ridge,T510,192,3,0.9741869395557123,0.9870090878789882
A-observed,conditions,current_order,ridge,T520,192,3,1.1543457514838678,1.0744048359365606
A-observed,conditions,current_order,residual,all,960,15,1.0191177548285197,1.0095136229038812
A-observed,conditions,current_order,residual,PTM_other,686,15,1.1982070936193294,1.094626463054557
A-observed,conditions,current_order,residual,PTM_crystalline,274,13,0.8944386452976923,0.945747664706444
A-observed,conditions,current_order,residual,T400,192,3,0.7161735379009517,0.8462703692679732
A-observed,conditions,current_order,residual,T450,192,3,1.0976102016819809,1.04766893706074
A-observed,conditions,current_order,residual,T500,192,3,1.1701324178734507,1.081726591091044
A-observed,conditions,current_order,residual,T510,192,3,0.9747104099413013,0.987274232390019
A-observed,conditions,current_order,residual,T520,192,3,1.136962206744914,1.0662842992114787
A-observed,conditions,future_order_12,ridge,all,960,15,0.9873835104479786,0.9936717317343684
A-observed,conditions,future_order_12,ridge,PTM_other,686,15,1.1521469447586583,1.07338108086488
A-observed,conditions,future_order_12,ridge,PTM_crystalline,274,13,0.6919808200460846,0.8318538453635258
A-observed,conditions,future_order_12,ridge,T400,192,3,0.6421069894961429,0.8013157863764715
A-observed,conditions,future_order_12,ridge,T450,192,3,1.1306424502293015,1.0633167215036645
A-observed,conditions,future_order_12,ridge,T500,192,3,1.0424235612145478,1.020991459912642
A-observed,conditions,future_order_12,ridge,T510,192,3,0.9965506254461495,0.9982738228793488
A-observed,conditions,future_order_12,ridge,T520,192,3,1.1251939258537518,1.060751585364713
A-observed,conditions,future_order_12,residual,all,960,15,0.9863982869005194,0.9931758590000662
A-observed,conditions,future_order_12,residual,PTM_other,686,15,1.155066055042387,1.0747399941578368
A-observed,conditions,future_order_12,residual,PTM_crystalline,274,13,0.6872203018876126,0.8289875161228983
A-observed,conditions,future_order_12,residual,T400,192,3,0.6376019293010049,0.7984997991865777
A-observed,conditions,future_order_12,residual,T450,192,3,1.1452428659602731,1.0701602057450432
A-observed,conditions,future_order_12,residual,T500,192,3,1.0405785619543257,1.0200875266144203
A-observed,conditions,future_order_12,residual,T510,192,3,0.9953387091951797,0.9976666322951669
A-observed,conditions,future_order_12,residual,T520,192,3,1.1132293680918133,1.0550968524698636
A-observed,conditions,future_order_3,ridge,all,960,15,1.0104396730046508,1.005206283806787
A-observed,conditions,future_order_3,ridge,PTM_other,686,15,1.1723915356050094,1.0827703060229392
A-observed,conditions,future_order_3,ridge,PTM_crystalline,274,13,0.7426296065448064,0.8617595990441919
A-observed,conditions,future_order_3,ridge,T400,192,3,0.6780282490962897,0.8234247076061597
A-observed,conditions,future_order_3,ridge,T450,192,3,1.198957614971031,1.094969230148058
A-observed,conditions,future_order_3,ridge,T500,192,3,1.0252669236916434,1.0125546521998916
A-observed,conditions,future_order_3,ridge,T510,192,3,0.9979139787963968,0.9989564448945694
A-observed,conditions,future_order_3,ridge,T520,192,3,1.1520315984678937,1.0733273491660844
A-observed,conditions,future_order_3,residual,all,960,15,1.0106734047159094,1.0053225376544133
A-observed,conditions,future_order_3,residual,PTM_other,686,15,1.1781359202283157,1.0854196977336996
A-observed,conditions,future_order_3,residual,PTM_crystalline,274,13,0.7354182467564931,0.8575653017447086
A-observed,conditions,future_order_3,residual,T400,192,3,0.674112910903494,0.8210437935357006
A-observed,conditions,future_order_3,residual,T450,192,3,1.2127119337548384,1.101232007233189
A-observed,conditions,future_order_3,residual,T500,192,3,1.027058649170273,1.0134390209431807
A-observed,conditions,future_order_3,residual,T510,192,3,0.9972036004139473,0.9986008213565355
A-observed,conditions,future_order_3,residual,T520,192,3,1.1422799293369947,1.068774966649666
A-observed,conditions,future_order_9,ridge,all,960,15,0.9798314647699409,0.989864366855349
A-observed,conditions,future_order_9,ridge,PTM_other,686,15,1.1327502575616881,1.0643074074541097
A-observed,conditions,future_order_9,ridge,PTM_crystalline,274,13,0.6811013890515725,0.8252886701340159
A-observed,conditions,future_order_9,ridge,T400,192,3,0.6558120879634362,0.8098222570190549
A-observed,conditions,future_order_9,ridge,T450,192,3,1.1069689428675802,1.0521259158805947
A-observed,conditions,future_order_9,ridge,T500,192,3,1.011951952863508,1.0059582262020168
A-observed,conditions,future_order_9,ridge,T510,192,3,0.968542124644822,0.9841453777998563
A-observed,conditions,future_order_9,ridge,T520,192,3,1.155882215510358,1.075119628464832
A-observed,conditions,future_order_9,residual,all,960,15,0.9784679761964539,0.9891754021387986
A-observed,conditions,future_order_9,residual,PTM_other,686,15,1.134911978103069,1.0653224761090272
A-observed,conditions,future_order_9,residual,PTM_crystalline,274,13,0.6786601902114566,0.8238083455582716
A-observed,conditions,future_order_9,residual,T400,192,3,0.6522954288685705,0.8076480847922383
A-observed,conditions,future_order_9,residual,T450,192,3,1.11937265340025,1.0580040895007212
