method,lag_ps,rms_jump,ci95_low,ci95_high
mace,0.75,0.7227678255917053,0.696144693734013,0.7486785451361133
mace,1.5,0.7371189821687304,0.708712838356788,0.7633110186009128
mace,3.0,0.7533669193094447,0.7254541709797014,0.779713905125277
mace,6.0,0.7677799960093182,0.7386457350296209,0.7962484609877438
mace,12.0,0.7819571399197622,0.7501118544427121,0.812628883878815
mace,24.0,0.8004138229505586,0.7674442281181306,0.8320780808727167
mace,48.0,0.8267056642585449,0.7941654681348996,0.8587916473140016
mace,96.0,0.870740521852559,0.8356712509011253,0.9044510341690601
mace,192.0,0.930302783592553,0.8966930249353351,0.9632220435422242
gatr,0.75,0.6802021627925434,0.6592041073068677,0.700625286177116
gatr,1.5,0.6991460766058656,0.6758027124955337,0.7217245314415303
gatr,3.0,0.7209668813167579,0.6961291686476252,0.7445809172825365
gatr,6.0,0.7390875219714225,0.7116742491336224,0.7655125960339136
gatr,12.0,0.7553669309816508,0.7271464966840635,0.7823877560641301
gatr,24.0,0.7764242555520277,0.749606122945764,0.8020389835184146
gatr,48.0,0.805288188597922,0.7770262974749393,0.8317513559974513
gatr,96.0,0.8489414401378532,0.8218749210157131,0.8750171274842389
gatr,192.0,0.9161373373752437,0.8877359746582093,0.9432734605148055
tda,0.75,0.3707015945049796,0.3694798984611374,0.37192881567393793
tda,1.5,0.37589545957188,0.37454262149659745,0.37724344624654016
tda,3.0,0.3819752251325562,0.3800401083579157,0.38386847893265835
tda,6.0,0.38948373464831804,0.3873867911973486,0.3915694486512255
tda,12.0,0.4115718280702572,0.40712051847434816,0.41597550740321804
tda,24.0,0.45722739342272706,0.44634222327420797,0.46785937878268447
tda,48.0,0.5456738798616793,0.5257851695085946,0.5648524491329189
tda,96.0,0.7020870165048485,0.6760121560786919,0.7261472956986886
tda,192.0,0.9428202884766834,0.918403006676104,0.9641954302028204
soap,0.75,0.5866125977025614,0.5714430930904077,0.6013995933869276
soap,1.5,0.6024874199825161,0.5849243383351362,0.6187009295268949
soap,3.0,0.6203448848499724,0.6024897547593294,0.6376612651202748
soap,6.0,0.6384068465172976,0.6171861405496514,0.6580078595099966
soap,12.0,0.6565329249821407,0.6362907204895881,0.6761694182599884
soap,24.0,0.6861265482805965,0.6667810169109983,0.7046297226454492
soap,48.0,0.7298946152603394,0.7094819787427474,0.7495761530536785
soap,96.0,0.8049005479999597,0.784188030375894,0.8250932779731311
soap,192.0,0.9223747765856903,0.90290332076514,0.9406248525702812
bond_order,0.75,0.2775673608951757,0.26170871630616727,0.29302576956417287
bond_order,1.5,0.29244097399218894,0.27522828621899464,0.3094597337554727
bond_order,3.0,0.3068117456783581,0.29027831018049177,0.32432961824203205
bond_order,6.0,0.3284100044672601,0.3107755230048839,0.34519097063849846
bond_order,12.0,0.3631143873254065,0.3451377464083834,0.38034120871801047
bond_order,24.0,0.41943180809275493,0.4017334713281541,0.4352923361594567
bond_order,48.0,0.5143754285377694,0.49922631375996845,0.528789502543406
bond_order,96.0,0.6742728469828962,0.6568996957267427,0.6911191436430869
bond_order,192.0,0.9168173148224192,0.8940262420024538,0.9384711272051207
radial,0.75,0.6609382206150196,0.6444589575551541,0.6775582588767228
radial,1.5,0.6758316950344715,0.658898717297024,0.6923569196391643
radial,3.0,0.6919600301338359,0.6734142359304993,0.7100329067665865
radial,6.0,0.7060446598011545,0.6847232514987076,0.7268818544917771
radial,12.0,0.7195327002005083,0.6981732488669373,0.7393541392459305
radial,24.0,0.7440769343445626,0.7244715870157175,0.7627422875523615
radial,48.0,0.7791858611208332,0.7578847311158647,0.7999199626729304
radial,96.0,0.8430201581838157,0.8249527175588767,0.8610872163792072
radial,192.0,0.9503056371822065,0.9240050491711168,0.9758976776418934
angular,0.75,0.5128290652073649,0.5060581662491993,0.5195117251953195
angular,1.5,0.5225629563550129,0.5155517729289756,0.5293386658159059
angular,3.0,0.5316024704245382,0.5252286015348371,0.5377245144789411
angular,6.0,0.5435671831820023,0.537145027523685,0.5497482766349412
angular,12.0,0.5650860500639234,0.5565910934496908,0.5727376543950158
angular,24.0,0.6025450962680236,0.5878883956825615,0.6158457555591768
angular,48.0,0.6693638217740707,0.6473314763514965,0.6895802709098844
angular,96.0,0.7852564866369173,0.7575071478723386,0.810015245405853
angular,192.0,0.967927471130694,0.9318178065316941,1.0012793590105755
