source,method,mean_80_atom_replacement_fraction,jump_churn_spearman
911,mace,0.049074218749999995,0.23866381481276008
911,gatr,0.049074218749999995,0.43799994928015984
911,tda,0.049074218749999995,0.045392499942345205
911,soap,0.049074218749999995,0.38339335596645496
911,bond_order,0.049074218749999995,0.6553347883848558
911,radial,0.049074218749999995,0.4673601177443786
911,angular,0.049074218749999995,0.22858898946567713
913,mace,0.054859375,0.2340667994172175
913,gatr,0.054859375,0.38652961312767126
913,tda,0.054859375,0.06489970259486126
913,soap,0.054859375,0.3079917434713117
913,bond_order,0.054859375,0.504168561891379
913,radial,0.054859375,0.38777279203246373
913,angular,0.054859375,0.2816596451642981
938,mace,0.04314453125,0.22079857064773442
938,gatr,0.04314453125,0.4074961602960064
938,tda,0.04314453125,0.03185719024532327
938,soap,0.04314453125,0.3263833421239223
938,bond_order,0.04314453125,0.6114388626768356
938,radial,0.04314453125,0.41260494834102973
938,angular,0.04314453125,0.13475071528202645
942,mace,0.04185546874999999,0.34397926639581633
942,gatr,0.04185546874999999,0.5359054369989071
942,tda,0.04185546874999999,0.06144982777199464
942,soap,0.04185546874999999,0.43236987282568046
942,bond_order,0.04185546874999999,0.7556306117056649
942,radial,0.04185546874999999,0.5085984267099513
942,angular,0.04185546874999999,0.22884071084890098
970,mace,0.041277343749999994,0.29434314285807245
970,gatr,0.041277343749999994,0.5009179714789878
970,tda,0.041277343749999994,0.08018146630911631
970,soap,0.041277343749999994,0.4027037799184039
970,bond_order,0.041277343749999994,0.645948041863746
970,radial,0.041277343749999994,0.44997783655194534
970,angular,0.041277343749999994,0.16962590178282155
971,mace,0.0570546875,0.29756618968639786
971,gatr,0.0570546875,0.5036333868834337
971,tda,0.0570546875,0.07988912138202266
971,soap,0.0570546875,0.40958796718454576
971,bond_order,0.0570546875,0.7300711893192303
971,radial,0.0570546875,0.4794504153270455
971,angular,0.0570546875,0.20927621721896106
1000,mace,0.07522656249999998,0.16655795342198587
1000,gatr,0.07522656249999998,0.37424139090447156
1000,tda,0.07522656249999998,0.055962329265505005
1000,soap,0.07522656249999998,0.34067331269448375
1000,bond_order,0.07522656249999998,0.43492053046768175
1000,radial,0.07522656249999998,0.35303822369269816
1000,angular,0.07522656249999998,0.1757871085371027
1001,mace,0.059289062499999996,0.3222089071254107
1001,gatr,0.059289062499999996,0.503370719874084
1001,tda,0.059289062499999996,0.08585133720161023
1001,soap,0.059289062499999996,0.40242777659042167
1001,bond_order,0.059289062499999996,0.6801439643638887
1001,radial,0.059289062499999996,0.44853502016616176
1001,angular,0.059289062499999996,0.19080139134018265
881,mace,0.07425781249999999,0.29273003011200577
881,gatr,0.07425781249999999,0.4874143303395703
881,tda,0.07425781249999999,0.07744205278415422
881,soap,0.07425781249999999,0.38534398976004525
881,bond_order,0.07425781249999999,0.6306833791049474
881,radial,0.07425781249999999,0.46870496418428864
881,angular,0.07425781249999999,0.14129453140738465
1009,mace,0.047640625,0.33432514825336623
1009,gatr,0.047640625,0.5271492336122219
1009,tda,0.047640625,0.057341367882395314
1009,soap,0.047640625,0.4205823958827174
1009,bond_order,0.047640625,0.7239829049898217
1009,radial,0.047640625,0.5084234597445767
1009,angular,0.047640625,0.20363080770882266
